Title,Artist,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time signature,Chorus Hit,Sections,Target,Lyrics
Love Don't Run,Steve Holy,spotify:track:1dXUWskP4zy7Inqpfy5hf6,0.512,0.532,0,-3.28,1,0.0301,0.475,0,0.0993,0.256,147.473,219267,4,33.96792,9,1,"This is gonna hurt,
This is gonna hurt like hell
This is gonna damn near kill me,
Sometimes the truth ain't easy
I know that you're scared of telling me something
I don't wanna hear,
But baby believe that
I'm not leaving,
You couldn't give me one good reason

Love don't run, love don't hide
It won't turn away or back down from a fight
Baby I'm right here and I aint going anywhere
"
You Should See Me In A Crown,Billie Eilish,spotify:track:3XF5xLJHOQQRbWya6hBp7d,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,4,27.06075,9,1,"Bite my tongue, bide my time
Wearing a warning sign
Wait 'til the world is mine
Visions I vandalize
Cold in my kingdom size
Fell for these ocean eyes

You should see me in a crown
I'm gonna run this nothing town
Watch me make 'em bow
One by, one by one, one by, one by
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by, one by one, one by, one by one

"
New Salem,Misery Index,spotify:track:4Hl8ohhuAt8AvjIGsyfuli,0.329,0.933,1,-4.336,1,0.0552,3.47E-06,4.09E-06,0.059,0.261,104.676,203960,4,29.48355,11,0,"Sharpen up the guillotine
As fashionistas clean the scene
You're socially bewitched with narrative affixed
Tried and executed with no due process

Do you fight the good fight?
Or instigate the fighting?
It's a fucking witch-hunt
Somebody's head's gotta roll"
Raise Your Glass,P!nk,spotify:track:1gv4xPanImH17bKZ9rOveR,0.7,0.709,7,-5.006,1,0.0839,0.0048,0,0.0289,0.625,122.019,202960,4,23.8094,8,1,"Right, right, turn off the lights
We're gonna lose our minds tonight
What's the dealio?
I love when it's all too much
5:00 a.m. turn the radio up
Where's the rock 'n' roll?

Party crasher, penny snatcher
Call me up if you a gangster
Don't be fancy, just get dancy
Why so serious?

So raise your glass if you are wrong
In all the right ways, all my underdogs
We will never be, never be anything but loud
And nitty gritty, dirty little freaks
Won't you come on and come on and raise your glass?
Just come on and come on and raise your glass

Slam, slam, oh, hot damn
What part of party don't you understand?
"
Mr. Misunderstood,Eric Church,spotify:track:79dlQxvdsCDApoM8XChkpy,0.385,0.808,7,-6.67,1,0.045,0.0629,0,0.33,0.546,129.22,319240,4,32.15759,8,1,"Hey there, weird kid in your high-top shoes
Sitting in the back of the class; I was just like you
Always left out, never fit in
Owning that path you're walking in
Mr. Misunderstood, Mr. Misunderstood

Now, your buddies get their rocks off on Top 40 radio
But you love your daddy's vinyl, old-time rock and roll
Elvis Costello, Ray Wylie Hubbard, and think Jeff Tweedy is one bad mother
Mr. Misunderstood, Mr. Misunderstood

One day you'll lead the charge, you'll lead the band
Guitar Hero with lightning hands
And the girls will like your tattoos and the veins in your arms
They'll be helpless to your musical charms
And they'll all hold up their hands
And they'll all wanna dance
With Mr. Misunderstood, Mr. Misunderstood

First time I met Alabama Hannah, I was skinny as a rail
Red hair tied up in a blue bandana; she was hotter than the devil's Hell
She turned me on to Back Porch Pickers, Jackson Pollock, and gin
Her daddy didn't trust my intentions, so he turned to his daddy's old .410
"
Rolex,Ayo & Teo,spotify:track:0pSBuHjILhNEo55xK1zrRt,0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,238587,4,27.10088,13,1,"I just want a Rollie, Rollie, Rollie with a dab of ranch
I already got some designer to hold up my pants
I just want some ice on my wrist so I look better when I dance
Have you lookin' at it, put you in a trance
I just want a Rollie, Rollie, Rollie with a dab of ranch
I already got some designer to hold up my pants
I just want some ice on my wrist so I look better when I dance
Have you lookin' at it, put you in a trance
Yeah, yeah, yeah
All I ever wanted was a Rollie, Rollie
All I ever wanted was a Rollie, Rollie
Cooler than a snowman with the ice all on me
Now your chick all on me, now your chick all on me (she on me)

My Rollie don't tick tock, it just glide
Keep starin' at it and you might go blind
I be movin' clean, I don't even try
All I see is bands, bands, I spy
Yeah, dat way
I need that moola by Tuesday
Yeah, dat way
I low key feel like fungswae
I just now got started
Got views on views, I'm poppin'
My diamonds goin' retarded
"
Death Grips,Mason Jennings,spotify:track:50rm7j7JKHMeM2PpoELhk4,0.214,0.832,6,-6.645,1,0.0507,0.284,2.33E-05,0.546,0.23,74.541,226086,4,71.18209,8,0,"Listening to Death Grips on my headphones
Listening to ex-military
Listening to Death Grips on the car stereo
Cannot get it loud enough
Cannot get it loud enough for me

You are so beautiful, just as you are
Yours is the only face I see
You are so beautiful, wherever you are
Cannot get you close enough, cannot get you close enough to me

I was looking for you, I was halfway across the sky
"
You Need To Calm Down,Taylor Swift,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360,4,25.16103,9,1,"You are somebody that I don't know
But you're taking shots at me like it's Patrón
And I'm just like ""Damn, it's 7:00 a.m.""
Say it in the street, that's a knock-out
But you say it in a Tweet, that's a cop-out
And I'm just like, ""Hey, are you okay?""

And I ain't trying to mess with your self-expression
But I've learned the lesson that stressin'
And obsessin' 'bout somebody else is no fun
And snakes and stones never broke my bones so

So, oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down
You're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (oh)
You need to just stop
Like, can you just not step on my gown?
"
Butterfly Doors,Lil Pump,spotify:track:4NdXQlDTzxbOMkzJGWFtz3,0.925,0.397,5,-11.265,1,0.169,0.0889,5.12E-05,0.144,0.429,130.008,132923,4,51.23142,6,1,"CB on the beat, ho
Butterfly doors (Brr)
Jetski, Jetski
Yeah

Butterfly doors (Ooh)
Space coupe look like a UFO (Whoa)
Smokin' on dope (Damn)
They call me Yao 'cause my eyes real low (Low)
Pourin' up fours (Whoa)
Baby mama whip a pot on the stove (Whip it)
Ain't no joke (No)
You the type of nigga go cry to a ho (Ho)

Butterfly doors (Doors)
Space coupe look like a UFO (Whoa)
Smokin' on dope (Damn)
They call me Yao 'cause my eyes real low (Low)
Pourin' up fours (Whoa)
"
pictures feat. Kacey Musgraves,Judah & the Lion,spotify:track:1zZIVe9x0JhdhpuQjLTjIM,0.567,0.542,2,-6.64,1,0.0309,0.309,0.000342,0.0734,0.229,125.16,253869,4,43.12072,11,0,"Too scared to move these things from this home we made
So many good memories and some fatal mistakes
And I know that you love me still but we're not the same
And if I'm being honest, I don't really want you this way

You were mine always, and now you're gone
Look what we've become
Just another sad song of a love gone wrong
I hate that I'm taking our pictures off the walls

"
Cold Summer (feat. Tee Grizzley),Jeezy,spotify:track:1ePdxyyF6tntoUAf8PZQuF,0.701,0.731,11,-4.528,0,0.213,0.0355,0,0.389,0.36,90.015,181347,4,25.3835,8,0,"Go drop the top, you can feel the breeze
30 in the Glock, all you gotta do is squeeze
It just touched down all you gotta do is sell
And if they gon' ask you question, bitch you better not tell
I'm 'bout to fuck it up, I'm ballin' like Tee
A couple bad tens and they all light skinned
Hey how you comin' down? In a rose gold Hummer
Might be a chinchilla, it gon' be a cold summer

Got it snowin' in the city I'm 'bout to change the weather
So many birdies in this bitch, thought I was seen feathers
So many pussies hating on me, I just want the love
Hottest niggas in the city me and Mr. Rugs
Young niggas paper'd up that's straight from water whippin'
Hey, between me and you the wrong trippin'
Two 50 in my pocket, I'm a walking lick
Went crazy at the lot bitch I'm a lunatic
My nigga Blu got secrets he will never tell
Free Bale, yeah you know he see me with the scale
Indicator like I'm Mike, I'm fucking around with Jody
"
The Heart Of Dixie,Danielle Bradbery,spotify:track:5FgLLtrDU4Ex2ezB9anpH5,0.456,0.637,6,-4.773,1,0.0354,0.0171,0,0.194,0.436,155.95,209453,4,24.18304,11,1,"She had a dead-end job at the national bank
And a deadbeat husband who always drank
So when he didn't come home she had the gin to thank
For the tears in her eyes
So Dixie packed up and said her goodbyes, and she went

Driving so far away, nobody's gonna find her
Flyin' just fast enough to leave it all behind her
But she didn't know 'til she hit the road, deep in her soul
She's got the fire and the fight of the gypsy
Ain't nothing stronger than the heart of Dixie
The heart of Dixie

"
Brethren of the Pentagram,Lock Up,spotify:track:5jHBy1bwpUMET0ad6Ug3KK,0.343,0.978,6,-5.064,1,0.164,7.74E-06,2.86E-06,0.374,0.0832,120.629,95547,1,23.46464,5,0,"Unified infernal minds
Darkness guides the spirit
Towards the illumination of fate

Sinister shapes aligned by the star
The constellation unwinds

The gorgon eyes engraved in crystal
Raping the brains of the weak
"
Nice To Meet Ya,Niall Horan,spotify:track:3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,-4.351,0,0.0304,0.0119,0,0.395,0.392,109.034,158805,4,27.8013,8,1,"I like the way you talk
I like the things you wear
I want your number tattooed on my arm in ink, I swear
'Cause when the morning comes
I know you won't be there
Every time I turn around, you disappear

I wanna blow your mind
Just come with me, I swear
I'm gonna take you somewhere warm, you know j'adore la mer
'Cause when the morning comes
I know you won't be there
Every time I turn, around you disappear

I got love for you
I got love for you
Nice to meet ya
"
Tropicana Fruit Juice,Ycee,spotify:track:5EIVA0ZDr605FzZpnskzBc,0.82,0.38,0,-7.989,0,0.0502,0.416,2.53E-05,0.0952,0.647,95.004,245864,4,22.23884,4,0,"Feeling alright
Waiting on you, come on out Tonight
Im just tryna have a good time
We could go dancing 'round the fire

Made love in a Lamborghini
Parked by a mango tree
My blood is Hennessy
Leather seats on my bare skin
I'm so Faded
Saying prayers
Oh lord I'm faded "
Clique,"Kanye West, Jay-Z, Big Sean",spotify:track:65rRB2mspD309xE6YimZTl,0.66,0.539,9,-5.947,0,0.324,0.0534,0,0.222,0.307,109.318,293613,5,39.90831,14,1,"What of the dollar you murdered for?
Is that the one fighting for your soul?
Or your brother's the one that you're running from?
But if you got money, fuck it, 'cause I want some
B-I-G, who fuckin' with me?
Oh, God! Whoa, okay

Ain't nobody fuckin' with my clique
Clique, clique, clique, clique
Ain't nobody fresher than my muh'fuckin' clique
Clique, clique, clique, clique
As I look around, they don't do it like my clique
Clique, clique, clique, clique
And all these bad bitches, man
They want the-, they want the-

(B-I-G, oh God! Go)
I tell a bad bitch do whatever I say
My block behind me, like I'm coming out the driveway
It's grind day, from Friday to next Friday
I been up straight for nine days, I need a spa day (spa day)
Yup, she tryin' to get me that poon-tang
I might let my crew bang, my crew deeper than Wu-Tang
I'm rollin' with"
Mama's Song,Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.0357,0.442,0,0.096,0.269,79.987,240240,4,25.29826,14,1,"Mama, you taught me to do the right things
So now you have to let your baby fly
You've given me everything that I will need
To make it through this crazy thing called life

And I know you watched me grow up
And only want what's best for me
And I think I found the answer to your prayers

And he is good, so good
He treats your little girl like a real man should
He is good, so good
He makes promises he keeps
No, he's never gonna leave
So don't you worry about me
"
Come Join The Murder,The White Buffalo & The Forest Rangers,spotify:track:1jZoQ2R3wgs1UbOhio9j8I,0.529,0.445,5,-7.156,1,0.0275,0.67,0.032,0.106,0.179,124.166,448093,4,25.91926,14,1,"There's a blackbird perched outside my window
I hear him calling
I hear him sing
He burns me with his eyes of gold to embers

He sees all my sins
He reads my soul
One day that bird, he spoke to me
Like Martin Luther
Like Pericles

Come join the murder
Come fly with black
We'll give you freedom
From the human trap
Come join the murder
Soar on my wings
You'll touch the hand of God
And he'll make you king
And he'll make you king

On a blanket made of woven shadows
Flew up to heaven
On a raven's glide
His angels they turn my wings to wax now
I fell like Judas, grace denied
On that day he lied to me
Like Martin Luther
Like Pericles
"
Attitude,Sepultura,spotify:track:5hBKrgKMI929c0kHoNomu3,0.475,0.942,1,-4.287,0,0.139,0.00141,0.0797,0.0939,0.178,80.356,255400,4,54.87165,12,0,"One week struggling on the real world is
So you can see
Feel your soul and shape your mind to warfare
It's all for real

Live your life, not the way they taught you
Do what you feel
Survive this jungle, give me blood, give me pain
These scars won't heal

What were you thinking? What a wonderful world?
"
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4,27.82757,8,1,"Ayy, ayy, ayy, ayy (ooh)
Ooh, ooh, ooh, ooh (ooh)

Ayy, ayy
Ooh, ooh, ooh, ooh

Needless to say, I keep her in check
She was a bad-bad, nevertheless (yeah)
Callin' it quits now, baby, I'm a wreck (wreck)
Crash at my place, baby, you're a wreck (wreck)

Needless to say, I'm keeping her in check
She was all bad-bad, nevertheless
Callin' it quits now, baby, I'm a wreck
Crash at my place, baby, you're a wreck

Thinkin' in a bad way, losin' your grip
Screamin' at my face, baby, don't trip
Someone took a big L, don't know how that felt
"
Train Food,XXXTENTACION,spotify:track:5lar0mCUejpILVkAz50s2J,0.492,0.712,9,-7.278,0,0.691,0.564,9.10E-05,0.357,0.23,137.453,164083,3,31.63572,10,1,"I remember I had walked home that day
Content with all my misery
Told my self it'd get better, no clue what there was next to me
Remember there was people, walkin', talkin' in the distance
I was dressed for winter weather
But the summer rays were kissing me
I, I was lost

So I took a different path, in the distance he awaited me
Had no weapon, I'm guessing his hands were just enough for me
Was no question, I'm guessing he laughed just at the sight of me
I was lost

I remember I had walked home that day
Content with all my misery
Told my self it'd get better, no clue what there was next to me
"
Loved,Fresh Life Worship,spotify:track:5tfBKFnL5bhyOqKNeHoQc9,0.46,0.256,5,-9.276,1,0.0393,0.715,0,0.353,0.288,152.985,194227,4,25.96778,9,0,"It's gonna be all right
It's gonna be ok
It's a cold dark night
But we'll find the day
Know that you're loved
Know that you're loved
And when the world starts to blur
And your soul gets heavy
And when you're at your worst
And the ground is unsteady
Know that you're loved
Know that you're loved
No matter what may come your way
"
Infrared,Pusha T,spotify:track:6cpsixIHI63L0hwh3CwZg3,0.674,0.578,10,-8.768,0,0.298,0.0518,0.0055,0.72,0.163,112.265,170240,5,29.04994,5,1,"Infrared, yeah, you know what I mean?
Infrared, yeah, you know what I mean?

The game's fucked up
Niggas' beats is bangin', nigga, ya hooks did it
The lyric pennin' equal the Trumps winnin'
The bigger question is how the Russians did it
It was written like Nas, but it came from Quentin
At the mercy of a game where the codes is missin'
When the CEO's blinded by the glow it's different
Believe in myself and the Coles and Kendricks
Let the sock puppets play in their roles and gimmicks
Shit, remember Will Smith won the first Grammy?
And they ain't even recognize Hov until ""Annie""
So I don't tap dance for the crackers and sing Mammy
'Cause I'm 'posed to juggle these flows and nose candy (yugh)
Ferrari, my 40th, blew the candles out
"
Girl In A Country Song,Maddie & Tae,spotify:track:1GRiBe0kNCNYpjwCHIyynI,0.59,0.908,8,-3.789,1,0.084,0.285,0,0.36,0.874,160.028,217840,4,39.40916,10,1,"Well, I wish I had some shoes on my two bare feet
And it's gettin' kinda cold in these painted-on cut-off jeans
I hate the way this bikini top chafes
Do I really have to wear it all day?
(Yeah, baby)

I hear you over there on your tailgate whistlin' in
Sayin', ""Hey girl"", but you know I ain't listenin'
'Cause I got a name, and to you it ain't
Pretty little thing, honey or baby
It's drivin' me red, red, red, red, red, red, redneck crazy

Bein' the girl in a country song
How in the world did it go so wrong?
Like all we're good for is lookin' good for
You and your friends on the weekend, nothin' more
We used to get a little respect
Now we're lucky if we even get
To climb up in your truck, keep our mouth shut and ride along
And be the girl in a country song
"
Can't Help Falling in Love,The Once,spotify:track:1zQtsarlHMwSh6CEA6Ocoh,0.277,0.441,0,-9.054,1,0.0364,0.285,5.35E-06,0.0763,0.135,96.848,183253,4,26.27623,7,0,"Wise men say only fools rush in
But I can't help
Falling in love with you
Shall I stay
Would it be a sin
If I can't help falling
In love with you

"
Doom,IXION,spotify:track:0NILb1JbeLiEIM1Vq7pklf,0.225,0.712,5,-5.141,1,0.0475,0.000954,0.526,0.1,0.0488,120.032,322402,4,24.53826,14,0,"It can not be
Frozen in time
Silent in space

Black holes for the eyes
Cold and empty vision
"
Jump Right In,Zac Brown Band,spotify:track:6yIMatK8OCXC3GuIlwHxuM,0.697,0.82,1,-5.108,1,0.0575,0.0888,0,0.143,0.655,104.022,180813,4,45.04236,7,1,"The southern wind sings again an island lullaby

Baby, powder beach under my feet has got me rolling
And the breeze through crackling leaves like a daytime campfire burning
And the ship is off to sea, and the wake it is a churning
As the southern wind sings again an island lullaby

You can jump right in
Let the music pull you in
You can jump right in
Oh, and lose yourself again
As the southern wind sings again an island lullaby

There's a place the locals go, no one knows where to find it
"
Punk (La Vie Antérieure),Deerhunter,spotify:track:4QGfAJcONFa4IRxMZWSlPu,0.556,0.729,2,-8.553,1,0.0662,0.531,0.148,0.15,0.786,120.004,207137,4,65.59518,9,0,"For a month I was punk
I remembered all my drunk
Younger days in a daze
I would spend my empty days

For a week I was weak
I was humbled on my knees
Pray to God: ""Make it stop
Help me find some relief""

"
We Are The World 25: For Haiti,Artists For Haiti,spotify:track:07rhyW77lp2bGv8EQoZy6k,0.348,0.717,4,-5.634,1,0.0882,0.311,0,0.0786,0.28,66.21,416778,4,67.14784,13,1,"There comes a time
When we heed a certain call
When the world must come together as one
There are people dying
And it's time to lend a hand to life
The greatest gift of all

We can't go on
Pretending day by day
That someone, somehow will soon make a change
We are all a part of
God's great big family
And the truth, you know love is all we need

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a brighter day
Just you and me

Weh, send them your heart
So they'll know that someone cares
So their cries for help
Will not be in vain
We can't let them suffer
No we cannot turn away
Right now they need a helping hand

Nou se mond la
We are the Children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me

When you're down and out
And there seems no hope at all
But if you just believe
There's no way we can fall
Well, well, well, well, let us realize
"
Glory And Gore,Lorde,spotify:track:5ama5p0JgVg5scQk6ryDPy,0.689,0.377,1,-8.761,1,0.0397,0.285,0,0.268,0.294,143.946,210738,4,40.20837,9,1,"There's a humming in the restless summer air
And we're slipping off the course that we prepared
But in all chaos, there is calculation
Dropping glasses just to hear them break
You've been drinking like the world was gonna end (it didn't)
Took a shiner from the fist of your best friend (go figure)
It's clear that someone's gotta go
We mean it, but I promise we're not mean

And the cry goes out (oh)
They lose their minds for us
And how it plays out (oh)
Now we're in the ring, and we're coming for blood

(Oh, oh) you could try and take us
(Oh, oh) but we're the gladiators
(Oh, oh) everyone a rager
(Oh, oh) but secretly they're saviors
Glory and gore go hand in hand
That's why we're making headlines
(Oh, oh) you could try and take us
"
"Trial by Fire - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:5x9j22lLlJf2SePPs8qXbR,0.158,0.957,10,-8.401,0,0.113,9.36E-05,0.122,0.971,0.213,181.493,280733,4,25.22299,10,0,"Accuse you of a crime
Sentenced to endless time
The price you have to pay
Won't get away!
Sworn in by the stand
Your rights are gone
The system's banned
They think you are a liar
A trial by fire

Hey!
This is what the people say
A new way
A trial by fire!
"
No Such Thing As A Broken Heart,Old Dominion,spotify:track:0OlS52TmtK2gPaEtdmr7DN,0.65,0.782,8,-4.295,1,0.0721,0.295,0,0.107,0.944,171.988,176893,4,37.32713,9,1,"Keep your chin up

I wonder if Jack and Diane ever made it
After the drums and the guitars all faded
Was the best they could do good enough
Or did the heartland just swallow 'em up
How did my mom and my dad ever do it
If there was struggles, then we never knew it
I guess they had each other, that was enough

You know you can't keep the ground from shaking
No matter how hard you try
You can't keep the sunsets from fading
You gotta treat your life like
You're jumping off a rope swing
Baby 'cause the whole thing's really just a shot in the dark
"
You & I,One Direction,spotify:track:2afCBiru10AFckfOa49wIa,0.574,0.329,1,-6.829,1,0.0274,0.22,0,0.0986,0.356,130.993,237933,4,37.90808,11,1,"Girl, I see it in your eyes you're disappointed
'Cause I'm the foolish one that anointed with your heart
I tore it apart
And, girl, what a mess I made upon your innocence
And no woman in the world deserves this
But here I am asking you for one more chance

Can we fall one more time?
Stop the tape and rewind
Oh, and if you walk away, I know I'll fade
'Cause there is nobody else

It's gotta be you
Only you
It's got to be you
Oh, only you
It's gotta be you
"
