Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness,Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity Score,Lyrics
Miracle,Ilse DeLange,dutch americana,2008,130,48,55,-8,10,18,270,48,3,50,"Someone put a lock on this old door
It's been beaten up and used and more
It's been kicked a hundred thousand times
Keeping all the memories behind
If you read the lines between the paint
Look beyond the cracks that store away
It's hidden in the windows of the walls
Right behind the eyes that saw it all

Now given all the facts of circumstance
I did not believe that a romance
Would show itself in all this dark and blue
That's the only place I ever knew
You put me outside my safety-zone
Outside all the lines that made my home
To find out that no one really lives
Without giving what it is you give

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Smokers Outside the Hospital Doors,Editors,alternative dance,2007,123,68,53,-4,12,55,298,0,4,56,"Pull the blindfold down
So your eyes can't see
Now run as fast as you can
Through this field of trees

Say goodbye to everyone
You have ever known
You are not gonna see them
Ever again

I can't shake this feeling I've got
My dirty hands, have I been in the wars?
The saddest thing that I'd ever seen
Were smokers outside the hospital doors

Someone turn me around
Can I start this again?

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Big Log - 2006 Remaster,Robert Plant,album rock,2007,181,59,56,-9,20,68,306,32,3,57,"My love is in league with the freeway
Its passion will rise as the cities fly by
And the tail lights dissolve in the coming of night
And the questions and thousands take flight

My love is a-miles in awaiting
The eyes that just stare and the glance at the clock
And the secret that burns, and the pain that grows dark
And it's you once again

Leading me on (leading me on)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Chasing Pavements,Adele,british soul,2008,80,47,62,-6,11,33,211,31,3,63,"I've made up my mind
Don't need to think it over
If I'm wrong, I am right
Don't need to look no further
This ain't lust, I know this is love

But, if I tell the world, I'll never say enough
'Cause it was not said to you
And that's exactly what I need to do
If I end up with you

Should I give up or should I just keep chasin' pavements
Even if it leads nowhere?
Or would it be a waste even if I knew my place?
Should I leave it there?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Saints Are Coming,U2,irish rock,2006,152,81,32,-7,15,12,202,8,5,40,"There is a house in New Orleans, they call the Rising Sun
It's been the ruin of many a poor boy, and God, I know I'm one

I cried to my daddy on the telephone, how long now?
Until the clouds unroll and you come home, the line went
But the shadows still remain since your descent, your descent

I cried to my daddy on the telephone, how long now?
Until the clouds unroll and you come home, the line went
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
All My Life,Foo Fighters,alternative metal,2002,168,60,58,-6,48,65,263,0,5,72,"All my life, I've been searching for something
Something never comes, never leads to nothing
Nothing satisfies but I'm getting close
Closer to the prize at the end of the rope

All night long I dream of the day
When it comes around, then it's taken away
Leaves me with the feeling that I feel the most
Feel it come to life when I see your ghost

Come down, don't you resist
You've such a delicate wrist
And if I give it a twist
Something to hold when I lose my grip

Will I find something in that?
So, give me just what I need
Another reason to bleed
One by one, hidden up my sleeve
One by one, hidden up my sleeve

Hey, don't let it go to waste
I love it but I hate the taste
Weight keeping me down
Hey, don't let it go to waste
I love it but I hate the taste
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
American Idiot,Green Day,modern rock,2004,186,99,38,-2,37,77,176,0,6,78,"Don't want to be an American idiot
Don't want a nation under the new media
And can you hear the sound of hysteria?
The subliminal mind-fuck America

Welcome to a new kind of tension
All across the alienation
Where everything isn't meant to be okay

The television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Breaking the Habit,Linkin Park,alternative metal,2003,100,85,58,-5,9,58,197,11,3,65,"Memories consume
Like opening the wound
I'm picking me apart again
You all assume
I'm safe here in my room
Unless I try to start again

I don't want to be the one
The battles always choose
'Cause inside I realize
That I'm the one confused

I don't know what's worth fighting for
Or why I have to scream
I don't know why I instigate
And say what I don't mean
I don't know how I got this way
I know it's not alright
So, I'm breaking the habit
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Come Undone,Robbie Williams,dance pop,2002,168,57,38,-5,35,26,278,4,3,56,"So unimpressed but so in awe
Such a saint but such a whore
So self aware so full of shit
So indecisive so adamant
I'm contemplating thinking about thinking
It's overrated just get another drink in
Watch me come undone

They're selling razor blades and mirrors in the street
Pray that when I'm coming down you'll be asleep
If I ever hurt you your revenge will be so sweet
Because I'm scum
And I'm your son
I come undone
I come undone

So rock and roll so corporate suit
So damn ugly, so damn cute
So well trained, so animal
So need your love, so fuck you all
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Run,Snow Patrol,irish rock,2004,75,64,37,-6,17,20,355,0,3,65,"I'll sing it one last time for you
Then we really have to go
You've been the only thing that's right
In all I've done

And I can barely look at you
But every single time I do
I know we'll make it anywhere
Away from here

Light up, light up
As if you have a choice
Even if you cannot hear my voice
I'll be right beside you dear

Louder, louder
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Day After Tomorrow,Saybia,danish pop rock,2005,76,77,46,-5,14,35,234,1,3,51,"Please tell me
Why do birds
Sing when you're near me
Sing when you're close to me
They say that I'm a fool
For loving you deeply
Loving you secretly

But I crash in my mind
Whenever you are near
Getting deaf, dumb and blind
Just drowning in despair
I am lost in your flame
It's burning like the sun
And I call out your name
The moment you are gone
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Just Breathe,Pearl Jam,alternative rock,2009,108,35,47,-11,8,28,216,72,3,69,"Yes, I understand that every life must end, ah-huh
As we sit alone, I know someday we must go, ah-huh
Oh, I'm a lucky man to count on both hands the ones I love
Some folks just have one, yeah, others they got none, ah-huh

Stay with me, oh
Let's just breathe

Practiced are my sins, never gonna let me win, ah-huh
Under everything, just another human being, ah-huh
Yeah, I don't wanna hurt
There's so much in this world to make me bleed

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Goodbye My Lover,James Blunt,neo mellow,2005,90,26,43,-13,9,27,259,95,5,69,"Did I disappoint you or let you down?
Should I be feeling guilty or let the judges frown?
'Cause I saw the end, before we'd begun
Yes, I saw you were blind and I knew I had won

So I took what's mine by eternal right
Took your soul out into the night
It may be over but it won't stop there
I am here for you if you'd only care

You touched my heart, you touched my soul
Changed my life and all my goals
And love is blind, and that I knew when
My heart was blinded by you

I've kissed your lips and held your head
Shared your dreams and shared your bed
I know you well, I know your smell
I've been addicted to you

Goodbye my lover
Goodbye my friend
You have been the one
You have been the one for me

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Unforgiven III,Metallica,alternative metal,2008,122,77,30,-3,12,9,467,0,3,52,"How could he know this new dawn's light
Would change his life forever?
Set sail to sea but pulled off course
By the light of golden treasure
Was he the one causing pain
With his careless dreaming?
Been afraid, always afraid
Of the things he's feeling
He could just be gone
He would just sail on
You would just sail on

How can I be lost
If I've got nowhere to go?
Searched for seas of gold
How come it's got so cold?
How can I be lost?
In remembrance, I relive
And how can I blame you
When it's me, I can't forgive?

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Sometimes You Can't Make It On Your Own,U2,irish rock,2004,96,60,53,-6,11,35,305,0,2,57,"Tough
You think you've got the stuff
You're telling me and anyone
You're hard enough

You don't have to put up a fight
You don't have to always be right
Let me take some of the punches
For you tonight

Listen to me now
I need to let you know
You don't have to go it alone

And it's you when I look in the mirror
And it's you when I don't pick up the phone
Sometimes you can't make it on your own
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Goin To The Run,Golden Earring,album rock,2008,124,59,47,-8,28,18,236,42,3,38,"I could bet on new-years eve
He'd call me up at night
From the other side of the world
Ed was always there all-right

Ed's got the looks of a movie-star
Ed's got the smile of a prince
He rides a bike instead of a car
I wanna be his friend

Dancin' in the living-room with the ladies so nice
Like a child with a wisdom-tooth, he's just a friend of mine
Ed's got the rings and the colours
Ed's got the wind in his hair
He goes riding with the brothers
He's got a fist in the air
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Solitary Man,Johnny Cash,arkansas country,2000,86,56,44,-7,25,70,144,35,3,47,"Belinda was mine 'til the time that I found her
Holdin' Jim and lovin' him
Then Sue came along, loved me strong
That's what I thought, me and Sue
But that died, too

Don't know that I will but until I can find me
A girl who'll stay and won't play games behind me
I'll be what I am
A solitary man
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kryptonite,3 Doors Down,alternative metal,2000,99,87,55,-6,17,54,234,1,3,77,"Well, I took a walk around the world to ease my troubled mind
I left my body lying somewhere in the sands of time
But I watched the world float to the dark side of the moon
I feel there's nothing I can do, yeah

I watched the world float to the dark side of the moon
After all, I knew it had to be something to do with you
I really don't mind what happens now and then
As long as you'll be my friend at the end

If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there holding my hand?
I'll keep you by my side with my superhuman might
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Family Portrait,P!nk,dance pop,2001,92,69,76,-5,57,73,297,3,5,56,"Uh, uh, some deep shit, uh, uh
Like the record
Yea-oh, oh, oh, oh, oh
Yeah, yeah, yeah, yeah, yeah, yeah

Momma please stop crying, I can't stand the sound
Your pain is painful and it's tearin' me down
I hear glasses breaking as I sit up in my bed
I told dad you didn't mean those nasty things you said

You fight about money, 'bout me and my brother
And this I come home to, this is my shelter
It ain't easy growing up in World War III
Never knowing what love could be, you'll see
I don't want love to destroy me like it has done my family

Can we work it out? (Can we?)
Can we be a family? (Can we?)
I promise I'll be better (I promise)
Mommy, I'll do anything (I'll do anything)
Can we work it out?
Can we be a family?
I promise I'll be better
Daddy, please, don't leave

Daddy, please, stop yelling (stop)
I can't stand the sound (can't stand the sound)
Make mama stop crying, 'cause I need you around
My mama she loves you (I know it), no matter what she says it's true
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
I Surrender,Saybia,danish pop rock,2004,136,43,28,-7,6,7,219,28,3,55,"A million suns are glowing in the night
Everything is quiet
Except for all the voices in my head
That say your name

Tonight I'm letting go
About to give in

I surrender myself
Into the arms of a beautiful stranger
I surrender myself to you, to you
I surrender myself
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Maybe Tomorrow,Stereophonics,britpop,2003,81,65,50,-7,33,57,273,22,4,64,"I've been down and I'm wondering why
These little black clouds keep walking around
With me
With me

It wastes time and I'd rather be high
Think I'll walk me outside and buy a rainbow smile
But be free
They're all free

So maybe tomorrow
I'll find my way home

So maybe tomorrow
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Make You Feel My Love,Adele,british soul,2008,77,18,55,-11,11,9,212,89,3,73,"When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When the evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
No One Knows,Queens of the Stone Age,alternative metal,2002,171,58,51,-5,37,67,279,3,6,65,"We get some rules to follow
That and this, these and those
No one knows

We get these pills to swallow
How they stick in your throat
Tastes like gold
Oh what you do to me
No one knows

And I realize you're mine
Indeed a fool am I
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Where Do You Go To (My Lovely) - Re-Recorded,Peter Sarstedt,british folk,2008,183,44,56,-8,12,44,288,29,3,58,"You talk like Marlene Dietrich
And you dance like Zizi Jeanmaire
Your clothes are all made by Balmain
And there's diamonds and pearls in your hair, yes there are.

You live in a fancy apartment
Off the Boulevard of St. Michel
Where you keep your Rolling Stones records
And a friend of Sacha Distel, yes you do.

You go to the embassy parties
Where you talk in Russian and Greek
And the young men who move in your circles
They hang on every word you speak, yes they do.

But where do you go to my lovely
When you're alone in your bed
Tell me the thoughts that surround you
I want to look inside your head, yes I do.

I've seen all your qualifications
You got from the Sorbonne
And the painting you stole from Picasso
Your loveliness goes on and on, yes it does.

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Little Lion Man,Mumford & Sons,modern folk rock,2009,139,48,52,-8,9,46,247,3,3,67,"Weep for yourself, my man,
You'll never be what is in your heart
Weep, little lion man,
You're not as brave as you were at the start
Rate yourself and rake yourself
Take all the courage you have left
And waste it on fixing all the problems that you made in your own head

But it was not your fault but mine
And it was your heart on the line
I really fucked it up this time
Didn't I, my dear?
Didn't I, my...

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Sad Man's Tongue,Volbeat,alternative metal,2007,110,96,43,-4,17,56,186,0,4,57,"Well, my mama told me, ""Son, you better watch out
All those nasty women gonna rip you dime for dime""
But I got my pocket full of real tales
And a broken guitar mode
Guitar mode
And the story keep on rollin'
Out from a sad man tongue
Yeah!

Left my mama and papa's nest
I got the rebel fever ramblin' my bones
Papa said, ""My boy, take your Johnny Cash vinyl and go""
Well, I got my pocket full of real tales
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Self Esteem,The Offspring,alternative metal,2005,105,91,46,-4,36,61,258,2,6,72,"I wrote her off for the tenth time today
And practiced all the things I would say
But she came over I lost my nerve
I took her back and made her dessert

Now I know I'm being used
That's okay man 'cause I like the abuse
Now I know she's playing with me
That's okay 'cause I've got no self-esteem
Oh yeah, yeah oh yeah, yeah

Oh yeah, yeah oh yeah, yeah

We make plans to go out at night
I wait 'til 2 then I turn out the light
This rejection's got me so low
If she keeps it up I just might tell her so
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Modern World,Anouk,dutch indie,2007,120,76,70,-5,13,68,210,12,6,42,"Crazy way to get your kicks
Shoot the silicone in your lips
If your figure makes you sad
Suck the fat right off your back

Make up your mind about your tits, girls
You can puff 'em up, so no bra will fit girls
There's only one thing they can't fix
No, I won't let you be misled
That's the hole in your head
Can't do nothing 'bout that

Hail, hail modern world
Hail to all you boys and girls
Hail, hail the colour green
Hail, hail to what I've seen
Hail, hail, hail this modern world

Tell her that she's beautiful
And put her on a pedestal
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Rosie,Claw Boys Claw,dutch indie,2007,100,55,59,-12,11,64,264,47,3,43,"Rainbow child, I used to call her name a lot when love was doing well
Bein' a star took all of you away from me, but most of all yourself

Got what you're looking for, waving bye to the poor
Got what you're gazing at, understanding and respect

Oh, Rosie, got it made, got it made, got it made, got it made
Oh yeah, Rosie, got it made, got it made, got it made, got it made

Rainbow star, oh, you fly too high, above our heads just held up by a string
Look out Rose, 'cause the fall is coming, your shadow tells the state you're in
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
This Is Not America - 2002 Remaster,David Bowie,album rock,2002,115,67,72,-12,5,65,231,6,4,43,"This is not America, sha la la la la

A little piece of you
The little peace in me
Will die (This is not a miracle)
For this is not America

Blossom fails to bloom
This season
Promise not to stare
Too long (This is not America)
For this is not the miracle

There was a time
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Times Like These,Foo Fighters,alternative metal,2002,145,91,38,-4,24,27,266,0,9,65,"I, I'm a one way motorway
I'm the one that drives away
Then follows you back home
I, I'm a street light shining
I'm a wild light blinding bright
Burning off and on
Ah-ah-ahh

It's times like these you learn to live again
It's times like these you give and give again
It's times like these you learn to love again
It's times like these time and time again

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
I'm Gonna Be (500 Miles),The Proclaimers,celtic rock,2003,132,55,85,-5,8,81,219,15,4,74,"When I wake up, well I know I'm gonna be,
I'm gonna be the man who wakes up next to you
When I go out, yeah I know I'm gonna be
I'm gonna be the man who goes along with you
When I get drunk, well I know I'm gonna be
I'm gonna be the man who gets drunk next to you
And when I haver, hey I know I'm gonna be
I'm gonna be the man who's havering to you

And I would roll 500 miles
And I would roll 500 more
Just to be the man who rolls a thousand miles
To fall down at your door

When I'm working, yes I know I'm gonna be
I'm gonna be the man who's working hard for you
And when the money, comes in for the work I do
I'll pass almost every penny on to you
When I come home(When I come home), well I know I'm gonna be
I'm gonna be the man who comes back home to you
And when I grow old, well I know I'm gonna be
I'm gonna be the man who's growing old with you

But I would roll 500 miles
And I would roll 500 more
Just to be the man who roles a thousand miles
To fall down at your door

Da da da (da da da)
Da da da (da da da)

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,dance pop,2007,106,84,70,-5,12,89,219,0,5,62,"Well sometimes I go out by myself
And I look across the water
And I think of all the things, what you're doing
And in my head I paint a picture

Cos since I've come on home,
Well my body's been a mess
And I've missed your ginger hair
And the way you like to dress
Won't you come on over
Stop making a fool out of me
Why don't you come on over Valerie?
Valerie? Valerie? Valerie?

Did you have to go to jail,
Put your house up on for sale, did you get a good lawyer?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Motorcycle Emptiness,Manic Street Preachers,alternative rock,2002,112,81,53,-4,16,21,306,0,3,39,"Culture sucks downwards
Itemize loathing and feed yourself smiles

Organize your safe tribal war
Hurt, maim, kill and enslave the ghetto

Each day living out a lie
Life sold cheaply forever, ever, ever

Under neon loneliness
Motorcycle emptiness
Under neon loneliness
Motorcycle emptiness

Life lies a slow suicide
Orthodox dreams and symbolic myths
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83,"It starts with one
One thing I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To explain in due time

All I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away

It's so unreal
Didn't look out below
Watch the time go right out the window
Tryin' to hold on, did-didn't even know
I wasted it all just to watch you go

I kept everything inside and even though I tried
It all fell apart
What it meant to me will eventually
Be a memory of a time when-
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Girl,Anouk,dutch indie,2004,136,80,67,-5,6,79,211,1,3,56,"Girl, girl, girl, when I hear him talk
Ooh, my mind gets blocked girl
Speak up 'cause my jaw is locked
Which is good, good for me, girl

It hides like a warning sign
But I'm too blind to see
Speak up yes I'm coming down
With an ice-cold fever, ice-cold fever
Ice-cold fever

Still got my hands they're clinging
So, I just keep going

I don't know where I belong
Could I belong to you?
No, I don't know where I belong
Could I belong

Girl, girl, girl, get it while it's hot they say
You see, I'm burning up here
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,37,48,-8,12,14,216,74,3,75,"Ooh-ooh-ooh, New York
Ooh-ooh-ooh, New York

Grew up in a town that is famous as a place of movie scenes
Noise is always loud
There are sirens all around and the streets are mean
If I can make it here, I can make it anywhere, that's what they say
Seein' my face in lights
Or my name in marquees found down on Broadway

Even if it ain't all it seems, I got a pocketful of dreams

Baby, I'm from New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Waiting On the World to Change,John Mayer,neo mellow,2006,177,76,58,-6,25,66,201,16,12,74,"Me and all my friends
We're all misunderstood
They say we stand for nothing and
There's no way we ever could

Now we see everything that's going wrong
With the world and those who lead it
We just feel like we don't have the means
To rise above and beat it

So we keep waiting
Waiting on the world to change
We keep on waiting
Waiting on the world to change

It's hard to beat the system
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
How to Save a Life,The Fray,modern rock,2005,122,74,64,-4,10,36,263,27,4,80,"Step one, you say, ""We need to talk""
He walks, you say, ""Sit down, it's just a talk""
He smiles politely back at you
You stare politely right on through

Some sort of window to your right
As he goes left, and you stay right
Between the lines of fear and blame
You begin to wonder why you came

Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Let him know that you know best
'Cause after all, you do know best
Try to slip past his defense
Without granting innocence

Lay down a list of what is wrong
The things you've told him all along
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
"Harder, Better, Faster, Stronger",Daft Punk,electro,2001,123,72,82,-9,36,69,225,4,14,71,"Work it
Make it
Do it
Makes us

Harder
Better
Faster
Stronger

More than
Hour
Hour
Never

Ever
After
Work is
Over

Work it
Make it
Do it
Makes us

Harder
Better
Faster
Stronger

Work it harder, make it better
Do it faster, makes us stronger

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Use Somebody,Kings of Leon,modern rock,2008,137,72,28,-5,20,17,231,1,4,76,"I've been roamin' around, always lookin' down at all I see
Painted faces fill the places I can't reach
You know that I could use somebody
You know that I could use somebody

Someone like you and all you know and how you speak
Countless lovers under cover of the street
You know that I could use somebody
You know that I could use somebody

Someone like you

Off in the night, while you live it up, I'm off to sleep
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Eternal Flame,The Bangles,album rock,2004,79,36,53,-7,9,40,238,53,2,70,"Close your eyes, give me your hand, darling
Do you feel my heart beating?
Do you understand? Do you feel the same?
Am I only dreaming?
Is this burning an eternal flame?

I believe it's meant to be, darling
I watch you when you are sleeping
You belong with me
Do you feel the same? Am I only dreaming?
Or is this burning (burning) an eternal flame?

Say my name
Sun shines through the rain
A whole life so lonely
And then come and ease the pain
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Best of You,Foo Fighters,alternative metal,2005,130,94,37,-5,19,37,256,0,7,75,"I've got another confession to make
I'm your fool
Everyone's got their chains to break
Holding you

Were you born to resist or be abused?

Is someone getting the best, the best, the best
The best of you?
Is someone getting the best, the best, the best
The best of you?

Are you gone and on to someone new?
I needed somewhere to hang my head
Without your noose
You gave me something that I didn't have
But had no use

I was too weak to give in
Too strong to lose
My heart is under arrest again
But I break loose

My head is giving me life or death
But I can't choose
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Papillon,Editors,alternative dance,2009,126,95,51,-5,30,63,324,0,6,56,"Make our escape, you're my own papillon
The world turns too fast
Feel love before it's gone
It kicks like a sleep twitch!
My papillon, feel love when it's shone

It kicks like a sleep twitch!

Darling, just don't put down your guns yet
If there really was a God here
He'd have raised a hand by now
Now darling, you were born, get old and die here
Well that's quite enough for me
We'll find our own way home somehow

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Love Is A Losing Game,Amy Winehouse,british soul,2006,165,56,48,-6,18,54,154,32,3,67,"For you, I was a flame
Love is a losing game
Five story fire as you came
Love is a losing game
One I wished I never played
Oh, what a mess we made
And now, the final frame
Love is a losing game

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
