Artist,Song title,Popularity Score,Lyrics
Duncan Laurence,Arcade,73,"A broken heart is all that's left
I'm still fixin' all the cracks
Lost a couple of pieces when
I carried it, carried it, carried it home

I'm afraid of all I am
My mind feels like a foreign land
Silence ringin' inside my head
Please, carry me, carry me, carry me home

I've spent all of the love I saved
We were always a losing game
Small town boy in a big arcade
I got addicted to a losing game
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Procol Harum,A Whiter Shade of Pale - Original Single Version,67,"We skipped the light fandango
Turned cartwheels 'cross the floor
I was feeling kinda seasick
But the crowd called out for more
The room was humming harder
As the ceiling flew away
When we called out for another drink
The waiter brought a tray

And so it was that later
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Simple Minds,Don't You (Forget About Me),73,"Hey, hey, hey, hey
Ooh-ooh-hoo, woah

Won't you come see about me
I'll be alone, dancing, you know it, baby
Tell me your troubles and doubts
Givin' me everything inside and out, and

Love's strange, surreal in the dark
Think of the tender things that we were working on
Slow change may pull us apart
When the light gets into your heart, baby

Don't you forget about me
Don't, don't, don't, don't
Don't you forget about me

Will you stand above me
Look my way, never love me
Rain keeps fallin', rain keeps fallin'
Down, down, down

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Jackson Browne,The Load-Out - Remastered,37,"Now the seats are all empty
Let the roadies take the stage
Pack it up and tear it down
They're the first to come and the last to leave
Working for that minimum wage
They'll set it up in another town

Tonight the people were so fine
They waited there in line
And when they got up on their feet, they made the show
And that was sweet
But I can hear the sound
Of slamming doors and folding chairs
And that's a sound they'll never know

Now roll them cases out and lift them amps
Haul them trusses down and get 'em up them ramps
'Cause when it comes to moving me
You know, you guys are the champs
But when that last guitar's been packed away
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Jackson Browne,Stay - Remastered,36,"People stay
Just a little bit longer
We want to play
Just a little bit longer

Now the promoter don't mind
And the union don't mind
If we take a little time
And we leave it all behind, and sing
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Wham!,Last Christmas,85,"Oh, oh-oh, ooh-oh-oh-oh
Ah-ah

Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special

Last Christmas, I gave you my heart
But the very next day, you gave it away (you gave it away)
This year, to save me from tears
I'll give it to someone special (special)

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me, baby, do you recognize me?
Well, it's been a year, it doesn't surprise me

""Merry Christmas,"" I wrapped it up and sent it
With a note saying, ""I love you,"" I meant it
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
White Lies,Time To Give,50,"You turn to me
I say ""What's there to talk about?""
Over fifteen years we've talked about it all
I've learned to be as alone as together means
Because we bring me down
And I drive you up the wall

If you've got the mind to leave
Then pick a topic to talk about
God knows I've time to give
You've got the backbone to stick around

Eternity
I don't quit when the bets are down
I'm a careful man, but I'd lose it all for you
A word to me
Is enough iron to keep the peace
I can ruin a day, and I know I do, I do

If you've got the mind to leave
Then pick a topic to talk about
God knows I've time to give
You've got the backbone to stick around

If you've got the mind to leave
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Maroon 5,Memories,98,"Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

There's a time that I remember, when I did not know no pain
When I believed in forever, and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy

Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Killing Joke,Love Like Blood,37,"We must play our lives like soldiers in the field
The life is short, I'm running faster all the time
Strength and beauty destined to decay
So cut the rose in full bloom

Till the fearless come and the act is done
A love like blood, a love like blood
Till the fearless come and the act is done
A love like blood, a love like blood

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Nirvana,About A Girl - Live Version,50,"I need an easy friend
I do, with an ear to lend
I do, think you fit this shoe
I do, but you have a clue

I'll take advantage while
You hang me out to dry
But I can't see you every night
Free
I do

I'm standin' in your line
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Floor Jansen,Phantom Of The Opera,56,"In sleep he sang to me
In dreams he came
That voice which calls to me
And speaks my name
And do I dream again?
For now I find
The Phantom of the Opera is there
Inside my mind
Sing once again with me
Our strange duet
My power over you
Grows stronger yet
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Tones and I,Dance Monkey,100,"They say, ""Oh my God, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

I said, ""Oh my God, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin' my whole life
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Procol Harum,Homburg - Single Version - 2009 Remaster - Mono,32,"Your multilingual business friend has packed her bags and fled
Leaving only ash-filled ashtrays and the lipstick, unmade bed
The mirror, on reflection has climbed back upon the wall
For the floor, she found descended, and the ceiling was too tall

Your trouser cuffs are dirty
And your shoes are laced up wrong
You'd better take off your homburg
'Cause your overcoat is too long

Town clock in the market square stands waiting for the hour
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kensington,Uncharted,65,"No one knows just what to say
It's like we're in uncharted territory
No one knows the proper way
It's like the ground has fallen from under me

And all sensible words
All sensible hearts
Oh where do they go
And why do they leave us now

And if I could go back again, I'll go back again
If the worst is happening how does anything work
Now let me please go back again, I'll go back again

No one knows what part to play
It's like we're in uncharted territory
No one knows another way
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Calum Scott,Dancing On My Own,28,"Somebody said you got a new friend
But does she love you better than I can?
And there's a big black sky over my town
I know where you're at, I bet she's around

And yeah, I know it's stupid
But I just gotta see it for myself

I'm in the corner, watching you kiss her, oh, oh-oh
And I'm right over here, why can't you see me? Oh, oh-oh
And I'm giving it my all, but I'm not the guy you're taking home
Ooh-ooh-ooh, I keep dancing on my own, no

I just wanna dance all night
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Beatles,Let It Be - Remastered 2009,79,"When I find myself in times of trouble
Mother Mary comes to me
Speaking words of wisdom
Let it be

And in my hour of darkness
She is standing right in front of me
Speaking words of wisdom
Let it be

Let it be, let it be
Let it be, let it be
Whisper words of wisdom
Let it be

And when the broken hearted
People living in the world agree
There will be an answer
Let it be

For though they may be parted
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Creedence Clearwater Revival,Have You Ever Seen The Rain,71,"Someone told me long ago there's a calm before the storm,
I know; it's been comin' for some time.
When it's over, so they say, it'll rain a sunny day,
I know; shinin' down like water.
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Led Zeppelin,Immigrant Song - Remaster,77,"Ah! Ah!
Ah! Ah!

We come from the land of the ice and snow
From the midnight sun, where the hot springs flow

The hammer of the gods will drive our ships to new land
To fight the horde and sing, and cry
Valhalla, I am coming

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Creedence Clearwater Revival,Who'll Stop The Rain,66,"Long as I remember the rain been comin' down
Clouds of mystery pourin' confusion on the ground
Good men through the ages tryin' to find the sun
And I wonder, still I wonder, who'll stop the rain?

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Beatles,The Long And Winding Road - Remastered 2009,64,"The long and winding road that leads to your door
Will never disappear
I've seen that road before it always leads me here
Leads me to your door

The wild and windy night that the rain washed away
Has left a pool of tears crying for the day
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Yusuf / Cat Stevens,Father And Son,74,"It's not time to make a change
Just relax, take it easy
You're still young, that's your fault
There's so much you have to know

Find a girl, settle down
If you want you can marry
Look at me, I am old
But I'm happy

I was once like you are now
And I know that it's not easy
To be calm when you've found
Something going on

But take your time, think a lot
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
"Crosby, Stills, Nash & Young",Almost Cut My Hair,62,"Almost cut my hair
It happened just the other day
It's gettin' kinda long
I coulda said it wasn't in my way
But I didn't and I wonder why
I feel like letting my freak flag fly
Yes, I feel like I owe it to someone
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Moody Blues,Question,50,"Why do we never get an answer when we're knocking at the door
With a thousand million questions about hate and death and war?
'Cause when we stop and look around us, there is nothing that we need
In a world of persecution that is burning in its greed

Why do we never get an answer when we're knocking at the door?
Because the truth, it's hard to swallow, that's what the war of love is for

It's not the way that you say it
When you do those things to me
It's more the way that you mean it
When you tell me what will be

And when you stop and think about it
You won't believe it's true
That all the love you've been giving
Has all been meant for you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Creedence Clearwater Revival,I Heard It Through The Grapevine,47,"Ooh-ooh, bet you wondered how I knew
'Bout your plan to make me blue
With some other guy that you knew before
Between the two of us guys, you know I love you more
It took me by surprise, I must say
When I found out yesterday

Ooh-ooh, I heard it through the grapevine
Not much longer would you be mine
Ooh-ooh, I heard it through the grapevine
And I'm just about to lose my mind
Honey, honey, yeah

You know that a man ain't supposed to cry
But these tears I can't hold inside
Losin' you'd end my life, you see
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Led Zeppelin,Since I've Been Loving You - 1990 Remaster,63,"Working from seven to eleven every night
Really makes the life a drag
I don't think that's right

I've really been the best, the best of fools
I did what I could
'Cause I love you, baby
How I love you, darling
How I love you, baby
My beloved little girl, little girl

But baby, since I've been loving you, yeah
I'm about to lose my worried mind, ah yeah

Everybody tryna tell me
That you didn't mean me no good
I've been trying
Lord, let me tell you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Beatles,Get Back - Remastered 2009,65,"Jojo was a man
Who thought he was a loner
But he knew it couldn't last
Jojo left his home in Tucson, Arizona
For some California grass

Get back
Get back
Get back to where you once belonged
Get back
Get back
Get back to where you once belonged

Get back Jojo

Go home
Get back
Get back
Get back to where you once belonged
Get back
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
David Bowie,The Man Who Sold the World - 2015 Remaster,63,"We passed upon the stair
We spoke of was and when
Although I wasn't there
He said I was his friend

Which came as some surprise
I spoke into his eyes
I thought you died alone
A long, long time ago

Oh no, not me
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Creedence Clearwater Revival,Long As I Can See The Light,60,"Put a candle in the window
'Cause I feel I've gotta move
Though I'm goin', goin'
I'll be comin' home soon
Long as I can see the light
Pack my bag and let's get moving
'Cause I'm bound to drift awhile
Though I'm gone, gone
You don't have to worry
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
James Taylor,Fire and Rain,73,"Just yesterday morning, they let me know you were gone*
Suzanne, the plans they made put an end to you.
I walked out this morning and I wrote down this song,
I just can't remember who to send it to.
I've seen fire and I've seen rain. I've seen sunny days that I thought would never end.
I've seen lonely times when I could not find a friend, but I always thought that I'd see you again.
Won't you look down upon me, Jesus, You've got to help me make a stand.
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Chicago,25 or 6 to 4 - 2002 Remaster,64,"Waiting for the break of day
Searching for something to say
Flashing lights against the sky
Giving up, I close my eyes

Sitting cross-legged on the floor
25 or 6 to 4

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
"Emerson, Lake & Palmer",Lucky Man - 2012 Remastered Version,60,"He had white horses
And ladies by the score
All dressed in satin
And waiting by the door

Ooooh, what a lucky man he was
Ooooh, what a lucky man he was

White lace and feathers
They made up his bed
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
"Crosby, Stills, Nash & Young",Carry On,58,"One morning I woke up
And I knew (that you were gone)
A new day, a new way
I knew I (should see it along)

Go your way
I'll go mine
And carry on

The sky is clearing
And the night (has gone out)
The sun, he come
The world (is all full of light)

Rejoice, rejoice
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Carpenters,(They Long To Be) Close To You,60,"Why do birds suddenly appear, ev'ry time you are near?
Just like me, they long to be close to you
Why do stars fall down from the sky, ev'ry time you walk by?
Just like me, they long to be close to you

On the day that you were born the angels got together

And decided to create a dream come true
So they sprinkled moon dust in your hair of gold
And star-light in your eyes of blue
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Led Zeppelin,Stairway to Heaven - Remaster,79,"There's a lady who's sure all that glitters is gold
And she's buying a stairway to heaven
When she gets there she knows, if the stores are all closed
With a word she can get what she came for
Ooh, ooh, and she's buying a stairway to heaven

There's a sign on the wall, but she wants to be sure
'Cause you know sometimes words have two meanings
In a tree by the brook, there's a songbird who sings
Sometimes all of our thoughts are misgiven

Ooh, it makes me wonder
Ooh, it makes me wonder

There's a feeling I get when I look to the west
And my spirit is crying for leaving
In my thoughts I have seen rings of smoke through the trees
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
John Lennon,Imagine - Remastered,78,"Imagine there's no Heaven

It's easy if you try

No Hell below us

Above us only sky

Imagine all the people
Living for today
Ah, ah, ah-ah

Imagine there's no countries
It isn't hard to do
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Janis Joplin,Me and Bobby McGee,71,"Busted flat in Baton Rouge, waiting for a train
And I's feeling nearly as faded as my jeans.
Bobby thumbed a diesel down just before it rained,
It rode us all the way to New Orleans.

I pulled my harpoon out of my dirty red bandanna,
I was playing soft while Bobby sang the blues.
Windshield wipers slapping time, I was holding Bobby's hand in mine,
We sang every song that driver knew.

Freedom is just another word for nothing left to lose,
Nothing don't mean nothing honey if it ain't free, now now.
And feeling good was easy, Lord, when he sang the blues,
You know feeling good was good enough for me,
Good enough for me and my Bobby McGee.

From the Kentucky coal mines to the California sun,
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Who,Baba O'Riley,77,"Out here in the fields
I fight for my meals
I get back into my living
I don't need to fight
To prove I'm right
I don't need to be forgiven

Don't cry
Don't raise your eye
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
David Bowie,Life on Mars? - 2015 Remaster,71,"It's a god-awful small affair
To the girl with the mousy hair
But her mummy is yelling, ""No!""
And her daddy has told her to go
But her friend is nowhere to be seen
Now she walks through her sunken dream
To the seat with the clearest view
And she's hooked to the silver screen

But the film is a saddening bore
For she's lived it ten times or more
She could spit in the eyes of fools
As they ask her to focus on

Sailors fighting in the dance hall
Oh man!
Look at those cavemen go
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Neil Diamond,I Am...I Said - Single Version,60,"L.A.'s fine, the sun shines most the time
And the feeling is ""lay back""
Palm trees grow and rents are low
But you know I keep thinkin' about
Making my way back

Well, I'm New York City born and raised
But nowadays, I'm lost between two shores
L.A.'s fine, but it ain't home
New York's home, but it ain't mine no more

I am, I said
To no one there
And no one heard at all, not even the chair

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Rolling Stones,Wild Horses,72,"Childhood living

Is easy to do

The things you wanted
I bought them for you

Graceless lady
You know who I am
You know I can't let you
Slide through my hands

Wild horses
Couldn't drag me away
Wild, wild horses
Couldn't drag me away

I watched you suffer
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Elton John,Tiny Dancer,79,"Blue-jean baby
L.A. lady
Seamstress for the band
Pretty-eyed
Pirate smile
You'll marry a music man

Ballerina
You must've seen her
Dancing in the sand
And now she's in me
Always with me
Tiny dancer in my hand

Jesus freaks
Out in the street
Handing tickets out for God

Turning back
She just laughs
The boulevard is not that bad

Piano man
He makes his stand
In the auditorium
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Yusuf / Cat Stevens,Morning Has Broken,68,"Morning has broken like the first morning
Blackbird has spoken like the first bird
Praise for the singing, praise for the morning
Praise for them springing fresh from the world

Sweet the rains new fall, sunlit from Heaven
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Gilbert O'Sullivan,Nothing Rhymed,35,"If I give up the seat I've been saving
To some elderly lady or man
Am I being a good boy?
Am I your pride and joy?
Mother please if you think say I am

And if while in the course of my duty
I perform an unfortunate take
Would you punish me so
Unbelievably so
Never again will I make that mistake

This feeling inside me could never deny me
The right to be wrong if I choose
And this pleasure I get
From say winning a bet
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Rolling Stones,Brown Sugar - Remastered,71,"Gold Coast slave ship bound for cotton fields
Sold in a market down in New Orleans
Scarred old slaver, know he's doing alright
Hear him whip the women just around midnight

Brown sugar, how come you taste so good?
Brown sugar, just like a young girl should, uh huh

Drums beating, cold English blood runs hot
Lady of the house wond'ring where it's gonna stop
House boy knows that he's doing alright
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Golden Earring,She Flies On Strange Wings,37,"Lonely is the night without you
Just as lonely as a shepherd without sheep
And where flies the falcon, in the high sweet air
Without hunting in the Sprane Valleys deer

She wears softness as a gown
She spreads magic all around
Her feathers still untouched
She takes but nothing and she gives so much

She flies on strange wings
She flies on strange winds
She brings strange things
She flies on strange wings
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
David Bowie,Changes - 2015 Remaster,66,"Oh-yeah

Still don't know what I was waiting for
And my time was running wild
A million dead-end streets, and
Every time I thought I'd got it made
It seemed the taste was not so sweet
So I turned myself to face me
But I've never caught a glimpse
Of how the others must see the faker
I'm much too fast to take that test

Ch-ch-ch-ch-changes (turn and face the strange)
Ch-ch-changes, don't wanna be a richer man
Ch-ch-ch-ch-changes (turn and face the strange)
Ch-ch-changes, just gonna have to be a different man
Time may change me
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Rolling Stones,Honky Tonk Women - Mono Version,67,"I met a gin soaked, bar-room queen in memphis
She tried to take me upstairs for a ride
She had to heave me right across her shoulder
'Cause I just can't seem to drink you off my mind

It's the honky tonk women
Gimme, gimme, gimme the honky tonk blues
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Janis Joplin,Cry Baby,66,"Cry baby, cry baby, cry baby,
Honey, welcome back home.

I know she told you,
Honey I know she told you that she loved you
Much more than I did,
But all I know is that she left you,
And you swear that you just don't know why,
But you know, honey I'll always,
I'll always be around if you ever want me
Come on and cry, cry baby, cry baby, cry baby,
Oh honey, welcome back home.

Don't you know, honey,
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Earth & Fire,Storm And Thunder,24,"Darkness of the night has gone
A blackbird sings a song at dawn
Crystal drops of morning dew
Are covering all the grass
The landscape wears its morningdress

The foliage of the wood shines bright
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Who,Won't Get Fooled Again - Original Album Version,65,"We'll be fighting in the streets
With our children at our feet
And the morals that they worship will be gone

And the men who spurred us on
Sit in judgement of all wrong
They decide and the shotgun sings the song

I'll tip my hat to the new constitution
Take a bow for the new revolution
Smile and grin at the change all around
Pick up my guitar and play
Just like yesterday
Then I'll get on my knees and pray
We don't get fooled again

The change, it had to come
We knew it all along
We were liberated from the foe, that's all

And the world looks just the same
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
J.J. Cale,After Midnight,62,"Ladies and gentlemen, please welcome
J.J. Cale

After midnight, we're gonna let it all hang out
After midnight, we're gonna chug-a-lug and shout

We're gonna cause talk and suspicion, give an exhibition
Find out what it is all about
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Buoys,Give Up Your Guns,39,"When I woke up this morning
I found myself alone
I turned to touch her hair, but she was gone
She was gone
And there beside my pillow
Were her tears from the night before
She said, give up your guns and face the law

I robbed a bank in Tampa
And I thought I had it made
But the hounds picked up my trail within the glades
So I ran
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Led Zeppelin,Rock and Roll - Remaster,67,"It's been a long time since I rock and rolled
It's been a long time since I did the stroll
Ooh, let me get it back, let me get it back, let me get it back
Mmm baby, where I come from

It's been a long time, been a long time
Been a long, lonely, lonely, lonely, lonely, lonely time
Yes, it has

It's been a long time since the book of love
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Led Zeppelin,Black Dog - Remaster,73,"Hey, hey, mama, said the way you move
Gonna make you sweat, gonna make you groove

Ah, ah, child, way you shake that thing
Gonna make you burn, gonna make you sting

Ah, ah, child, when you walk that way
Watch your honey drip, can't keep away

Oh yeah, oh yeah, oh, oh, oh
Oh yeah, oh yeah, oh, oh, oh

I gotta roll, can't stand still
Got a flamin' heart, can't get my fill
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
J.J. Cale,Call Me The Breeze,58,"Here's one of your old rock 'n' roll favorites, friend
Shuffle on down to Broadway
1, 2
1, 2

They call me the breeze
I keep blowing down the road
They call me the breeze
I keep blowing down the road
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Who,Behind Blue Eyes,71,"No one knows what it's like
To be the bad man, to be the sad man
Behind blue eyes
No one knows what it's like
To be hated, to be fated
To telling only lies

But my dreams, they aren't as empty
As my conscience seems to be
I have hours, only lonely
My love is vengeance that's never free
No one knows what it's like
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Pink Floyd,See Emily Play,50,"Emily tries but misunderstands
She's often inclined to borrow somebody's dreams till tomorrow

There is no other day
Let's try it another way
You'll lose your mind and play
Free games for may
See Emily play

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Neil Young,Heart of Gold - 2009 Remaster,71,"I wanna live, I wanna give
I've been a miner for a heart of gold
It's these expressions I never give

That keep me searching for a heart of gold
And I'm getting old
Keep me searching for a heart of gold
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
David Bowie,Starman - 2012 Remaster,74,"Goodbye love
Goodbye love

Didn't know what time it was the lights were low oh, oh
I leaned back on my radio
Some cat was layin' down some rock n roll, lotta soul, he said
Then the loud sound did seem to fade
Came back like a slow voice on a wave of phase
That weren't no DJ
That was hazy cosmic jive

There's a starman
Waiting in the sky
He'd like to come and meet us
But he thinks he'd blow our minds

There's a starman
Waiting in the sky
He's told us not to blow it
'Cause he knows it's all worthwhile
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Eagles,Take It Easy - 2013 Remaster,75,"Well, I'm a-runnin' down the road tryna loosen my load
I got seven women on my mind
Four that wanna own me, two that wanna stone me
One says she's a friend of mine

Take it easy, take it easy
Don't let the sound o' your own wheels drive you crazy
Lighten up while you still can
Don't even try to understand
Just find a place to make your stand
Take it easy

Well, I'm a-standin' on a corner in Winslow, Arizona
And such a fine sight to see
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Jim Croce,Time In A Bottle,58,"If I could save time in a bottle
The first thing that I'd like to do
Is to save everyday 'til eternity passes away
Just to spend it with you

And if I could make days last forever
And if words could make wishes come true
We'd walk through the fields of ripening corn
And time would flow through us and you
And I'd save everyday like a treasure and then
Again and again I'd spend them with you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Uriah Heep,Easy Livin',56,"This is a thing I've never known before
It's called easy livin'
This is a place I've never seen before
And I've been forgiven

Easy livin' and I've been forgiven
Since you've taken your place in my heart

Somewhere along the lonely road
I had tried to find ya
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Rolling Stones,She's A Rainbow - Full Version / With Intro,55,"She comes in colors everywhere
She combs her hair
She's like a rainbow
Coming, colors in the air
Oh, everywhere
She comes in colors

She comes in colors everywhere
She combs her hair
She's like a rainbow
Coming, colors in the air
Oh, everywhere
She comes in colors

Have you seen her dressed in blue?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
David Bowie,Ziggy Stardust - 2012 Remaster,64,"Now Ziggy played guitar
Jamming good with Weird and Gilly
And The Spiders from Mars
He played it left hand
But made it too far
Became the special man
Then we were Ziggy's band

Ziggy really sang
Screwed up eyes and screwed down hairdo
Like some cat from Japan
He could kill 'em by smiling
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Doobie Brothers,Listen to the Music,75,"Don't you feel it growing, day by day
People getting ready for the news
Some are happy, some are sad
Woah, and I'ma gotta let the music play

What the people need is a way to make them smile
It ain't so hard to do if you know how
Gotta get a message, get it on through
Oh now momma don't you ask me why

Woah, oh listen to the music
Woah, oh listen to the music
Woah, oh listen to the music
All the time

When I know you know baby, everything I say
Meet me in the country for a day
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Carpenters,Top Of The World,65,"Such a feelin's coming over me
There is wonder in most everything I see
Not a cloud in the sky
Got the sun in my eyes
And I won't be surprised if it's a dream
Everything I want the world to be
Is now coming true especially for me
And the reason is clear
It's because you are here
You're the nearest thing to heaven that I've seen
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Neil Young,Harvest - 2009 Remaster,51,"Did I see you down in a young girl's town
With your mother in so much pain?
I was almost there at the top of the stairs
With her screamin' in the rain

Did she wake you up to tell you that
It was only a change of plan?
Dream up, dream up, let me fill your cup
With the promise of a man

Did I see you walking with the boys
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Neil Diamond,Song Sung Blue - Single Version,54,"Song sung blue
Everybody knows one
Song sung blue
Every garden grows one

Me and you are subject to the blues now and then
But when you take the blues and make a song
You sing them out again
Sing them out again

Song sung blue
Weeping like a willow
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Steely Dan,Do It Again,69,"In the morning you go gunning
For the man who stole your water
And you fire 'til he is done in
But they catch you at the border

And the mourners are all singing
As they drag you by your feet
But the hangman isn't hanging
And they put you on the street, yeah

You go back, Jack
Do it again
Wheel turnin' round and round
You go back, Jack
Do it again

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Golden Earring,Radar Love,57,"I've been drivin' all night, my hands wet on the wheel
There's a voice in my head that drives my heel
It's my baby callin', sayin', ""I need you here""
And it's a half past four and I'm shiftin' gear

When she is lonely and the longing gets too much
She sends a cable, coming in from above
Don't need no phone at all

We've got a thing that's called radar love
We've got a wave in the air
Radar love

The radio's playin' some forgotten song
Brenda Lee's ""Coming On Strong""
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Eagles,Desperado - 2013 Remaster,66,"Desperado
Why don't you come to your senses?
You've been out ridin' fences for so long now
Oh, you're a hard one
I know that you got your reasons
These things that are pleasin' you
Can hurt you somehow

Don't you draw the queen of diamonds, boy
She'll beat you if she's able
You know the queen of hearts is always your best bet
Now it seems to me some fine things
Have been laid upon your table
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Aerosmith,Dream On,78,"Every time that I look in the mirror
All these lines on my face getting clearer
The past is gone
It went by like dusk to dawn
Isn't that the way?
Everybody's got their dues in life to pay, yeah

I know nobody knows
Where it comes and where it goes
I know it's everybody's sin
You got to lose to know how to win

Half my life's in books' written pages
Lived and learned from fools and from sages
You know it's true
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
ZZ Top,La Grange - 2005 Remaster,74,"Rumor spreadin' 'round
In that Texas town
About that shack outside La Grange
And you know what I'm talkin' about
Just let me know if you wanna go
To that home out on the range
They got a lot of nice girls
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
