track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,Lyrics
Celtic Pride,The Mahones,spotify:track:2lAbqS3XIaHpZyhwW3pMjg,0.329,0.812,2,-11.48,1,0.0872,0.0141,0.0786,0.0603,0.4,165.013,272880,4,97.84874,9,0,"I'm addicted, to holding pain and passion deep inside
I'm affricted, by the feeling in me that will no be denied
Out in the crowded street to the strangers that I meet
The Irish in me will not be denied
It's hard for me to hide my celtic pride

Pain and passion when my moment in the limelight never came
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Here Comes The Summer,The Fiery Furnaces,spotify:track:257xjCQOUQaSOwQWw9fTe1,0.723,0.785,5,-5.722,1,0.0302,0.0247,0.00347,0.26,0.816,128.03,209987,4,64.24515,9,0,"Last day in May, the afternoon: remember?
Black marks off charcoal from the dune: remember?
I thought it wouldn't be too soon; we'd wait at least until it's June.
The twenty-ninth of March it rained: remember?
You looked so sad that I explained: remember?
You knew it wouldn't be too soon; we'll have to wait until it's June.
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
He Gets That From Me,Reba McEntire,spotify:track:46a3BjDPBdi6OngVhTkuM6,0.643,0.391,10,-10.09,1,0.0296,0.622,1.38E-05,0.11,0.418,143.786,219933,4,28.43124,12,1,"His early mornin' attitude
You have to drag him out of bed
Only frosted flakes will do
He gets that from me
Yeah, he gets that from me
His curly hair and his knobby knees
The way the sun brings those freckles out
Talk and talk never miss a beat
Yeah, he gets that from me
He gets that from me

He looks at me with those big brown eyes
He's got me in the palm of his hands
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Carlene,Phil Vassar,spotify:track:339hc1FygD8oJl4kg24IjG,0.587,0.88,4,-5.725,1,0.0324,0.0784,0,0.182,0.778,129.222,246240,4,20.93198,10,1,"I was lousy at math, a failed historian
Carlene was the valedictorian
I was quarterback in the back of the class
She was the whiz kid in the horned-rim glasses
It'd been a long time since I'd been around
Since I'd set foot on my old stomping ground
I ended up by the old school yard
And this redhead pulls up in a blue sports car and says
""I'll bet you don't remember, I guess it's been forever""
It took a second to put it all together, I said

Oh la la la la la lookin' good Carlene
Oh my my my my my time's been good to you, if you know what I mean
Girl you glitter like Hollywood
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Someday,Sugar Ray,spotify:track:6NcHJ23mLQKnVxQcOmT7JW,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.832,243333,4,25.36994,12,1,"Someday
When my life has passed me by
I lay around and wonder why
You were always there for me

One way
In the eyes of a passerby
I look around for another try
And fade away

Just close your eyes and I'll take you there
This place is warm without a care
We'll take a swim in the deep blue sea
I go to leave and you reach for me

Some say
Better things will come our way
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Daft Punk Is Playing at My House - Soulwax Shibuya Mix,LCD Soundsystem,spotify:track:7d7l6Qnbnqv9nkuHrh6p1N,0.658,0.954,9,-5.376,1,0.0792,0.000891,9.80E-06,0.115,0.486,132.029,411084,3,37.91539,18,0,"Well, Daft Punk is playing at my house, my house
I'll show you the ropes kid, show you the ropes
I got a bus and a trailer at my house, my house
I'll show you the ropes kid, show you the ropes
I bought 15 cases for my house, my house
All the furniture is in the garage

Well, Daft Punk is playing at my house, my house
You've got to set them up kid, set them up
You've got to set 'em up, ooh ooh yeah
You've got to set 'em up, ooh ooh yeah
You've got to set them up, set them up

Well, Daft Punk is playing at my house, my house
I've waited 7 years and 15 days
There's every kid for miles at my house, my house
And the neighbors can't call the police
There's a fist fight brewin' at my house, my house
Because the jocks can't get in the door
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Scars,Papa Roach,spotify:track:1UREw2MCfU0xwBzCAjxlUD,0.471,0.936,11,-3.354,1,0.0448,0.0783,0,0.171,0.45,89.881,208186,4,22.21413,7,1,"I tear my heart open, I sew myself shut
My weakness is that I care too much
And my scars remind me that the past is real
I tear my heart open just to feel

I'm drunk and I'm feeling down
And I just wanna be alone
I'm pissed 'cuz you came around
Why don't you just go home?

'Cuz you channelled all your pain
And I can't help you fix yourself
You're making me insane
All I can say is

I tear my heart open, I sew myself shut
And my weakness is that I care too much
And our scars remind us that the past is real
I tear my heart open just to feel

I tried to help you once
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Sound Of Madness,Shinedown,spotify:track:0W9Xvd4Qx1aZPxEi94vgRY,0.328,0.939,2,-1.654,0,0.0423,4.93E-05,0.0065,0.337,0.329,185.971,233987,4,78.255,7,1,"Yeah, I get it, you're an outcast
Always under attack
Always comin' in last
Bringin' up the past
No one owes you anything
I think you need a shotgun blast
A kick in the ass
So paranoid
Watch your back!

Oh my, here we go
Another loose cannon gone bipolar
Slipped down, couldn't get much lower
Quicksand's got no sense of humor
I'm still laughin' like hell

You think that by cryin' to me
Lookin' so sorry, that I'm gonna believe
You've been affected by a social disease?
Well then, take your medicine

I created the sound of madness
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Black Sails At Midnight,Alestorm,spotify:track:5K5lrptyRqoVYYDhADvzSM,0.493,0.977,5,-3.808,0,0.151,7.21E-06,0.00538,0.356,0.322,100.02,210987,4,55.87392,10,0,"Go - the cold moonlight reflecting off your blade
So many centuries spent waiting for this day
Ride - across the seas beneath a blackened sail
Know that a painful death awaits us if we fail

Out of the darkness they came
With cannons a'raging and torches aflame
Slaying all poseurs who stand in their way

Black Sails at Midnight
You're dead by daylight
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Caustic Disco,Velvet Acid Christ,spotify:track:10ZjRxNkqhgs4BKLuggiil,0.564,0.878,7,-6.835,1,0.0499,9.11E-06,0.793,0.671,0.483,127.046,287600,4,50.27437,11,0,"Hell emission
Sell emotion
Sick devotion
Down in the gutter
Hell emission
Sell emotion
Sick devotion
Down in the gutter

Caustic disco, city on fire
Burning a fuse, fueling my desire
Disco electro getting me down
Pushing this sound to the underground

Hatin' that you want it
Hatin' that you need it
Hatin' that you want it
Hatin' that you need it
Hatin' that you want it
Hatin' that you need it
Hatin' that you want it
Hatin' that you need it

Hell emission
Sell emotion
Sick devotion
Down in the gutter
Hell emission
Sell emotion
Sick devotion
Down in the gutter

Caustic disco, city on fire
Burning a fuse, fueling my desire
Disco electro getting me down
Pushing this sound to the underground

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Arctic,Valhall,spotify:track:4c3TPYPHOgChuFnzECCZPX,0.277,0.836,2,-6.563,1,0.0458,0.000225,0.0284,0.117,0.351,95.514,267128,4,23.12976,10,0,"Journey to a moony northern land
Worlds limb where the sea of mead begins
Sun hides in an everlasting gloom.
Seat of holy terror and beliefs

Here the dream is my reality
Shadowland with no hiding place
Beautiful images beyond
All the adventures
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Some Beach,Blake Shelton,spotify:track:7kWeSMXLxUHHOkFxsS0vhP,0.787,0.765,0,-6.331,1,0.0265,0.231,1.79E-05,0.323,0.964,115.979,204827,4,30.21304,10,1,"Drivin' down the interstate
Runnin' 30 minutes late
Singin' 'Margaritaville' and mindin' my own
Some foreign car drivin' dude
With a road rage attitude
Pulled up beside me talkin' on his cell phone

He started yellin' at me
Like I did something wrong
He flipped me the bird
And then he was gone

Some beach somewhere
There's a big umbrella
Casting shade over an empty chair
Palm trees are growin', and warm breeze is blowin'
I picture myself right there
On some beach, somewhere
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
When You Lie Next To Me,Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,0.312,0.404,5,-10.014,1,0.0293,0.184,0,0.306,0.115,138.425,239827,4,54.21894,12,1,"Maybe, tonight, we could close the door and lock ourselves inside
Take time to feel
I don't want to miss the chance to be so real
The days all fly away
And I forget the truth
Everything that matters is in this room

When you lie next to me
Breathin' the air I breathe
We don't have to speak
And just be
Our love's a precious thing
Don't want to waste a day
Or one more minute
Without you in it
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
"1, 2, 3, 4",Plain White T's,spotify:track:5VWmMZCfJ4yVkJw9ZLFXej,0.458,0.55,2,-7.092,1,0.0262,0.566,1.39E-05,0.108,0.56,90.56,198360,4,22.42462,10,1,"1, 2, 1, 2, 3, 4

Give me more loving than I've ever had
Make it all better when I'm feeling sad
Tell me that I'm special even when I know I'm not
Make it feel good when I hurt so bad
Barely getting mad, I'm so glad I found you
I love being around you, you make it easy
It's easy as 1, 2

There's only one thing to do (1, 2, 3, 4)
Three words for you
(I love you) I love you
There's only one way to say
Those three words and that's what I'll do
(I love you) I love you
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Mama's Song,Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.0357,0.442,0,0.096,0.269,79.987,240240,4,25.29826,14,1,"Mama, you taught me to do the right things
So now you have to let your baby fly
You've given me everything that I will need
To make it through this crazy thing called life

And I know you watched me grow up
And only want what's best for me
And I think I found the answer to your prayers

And he is good, so good
He treats your little girl like a real man should
He is good, so good
He makes promises he keeps
No, he's never gonna leave
So don't you worry about me
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Used To Love U,John Legend,spotify:track:051NZ3rr3HXTULCEySJRX3,0.661,0.796,7,-4.776,1,0.0833,0.0347,0,0.396,0.657,87.982,210867,4,25.31054,9,1,"Holla, holla, holla (I say now put your hands in the air)
Holla, holla, holla (I say now put-put your hands)

Maybe It's me, maybe I bore you
No, no it's my fault 'cause I can't afford you
Maybe Baby, Puffy, or Jay-Z
Would all be better for you
'Cause all I could do was love you

Baby, when I used to love you
There's nothin' that I wouldn't do
I went through the fire for you
Anything you asked me to
But I'm tired of living this lie
It's getting harder to justify
I realize that I just don't love you
Not like I used to

(Holla, holla, holla) yeah, yeah
(Holla, holla, holla) uh, uh, yeah, yeah, yeah, yeah, yeah

Now maybe I should rob somebody
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Rush,Aly & AJ,spotify:track:1dpXikU9kSyxm1mKulwHws,0.548,0.815,2,-5.218,0,0.0409,0.0175,8.90E-06,0.127,0.212,129.963,191733,4,42.49121,8,1,"Into your head, into your mind
Out of your soul, race through your veins
You can't escape, you can't escape
Into your life, into your dreams
Out of the dark, sunlight again
You can't explain, you can't explain

Can you feel it? Can you feel it?
Rushing through your hair
Rushing through your head
Can you feel it? Can you feel it?

Don't let nobody tell you your life is over
Be every color that you are
Into the rush now, you don't have to know how
Know it all before you try

Pulling you in, spinning you 'round
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
I Remember,Keyshia Cole,spotify:track:1dObJGQUgJ7tWxJ0byON6W,0.422,0.736,5,-4.426,0,0.049,0.203,0,0.102,0.303,129.278,260093,4,29.05424,12,1,"Ooh, yeah, yeah
Ooh
Yeah, babe
Ooh, I remember
And I wanna know

Where were you, when I said I loved you
And where were you when I cried at night
Waiting up, couldn't sleep without you
Thinking of all the times we shared

I remember when my heart broke
I remember when I gave up loving you
My heart couldn't take no more of you
I was sad and lonely

I remember when I walked out
I remember when I screamed I hated you
But somehow deep inside, still loving you
Sad and lonely
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Feeling Good - No Apologize Radio Edit,DJ Wag,spotify:track:0wuMFLlxogpv7clNUG9KmW,0.71,0.796,0,-9.427,1,0.0554,0.00875,0.859,0.101,0.523,135.012,239964,4,18.22517,14,0,"Olivia Newton-John
Miscellaneous
Feeling-Too-Good-Today Blues
I'm feelin' too good today
I'm feelin' the way I shouldn't
I'm feelin' too good today
If I had my way I wouldn't

I'm feelin' too cheerful
Quick, slip me an earful of bad news
I'm feelin' too good today
I got the feelin'-too-good-today blues

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Almost Home,Craig Morgan,spotify:track:6FW9MTGMjR5A6q2o7PLuuz,0.525,0.481,8,-6.715,1,0.0251,0.302,0,0.121,0.237,75.974,289000,4,42.11222,11,1,"He had plastic bags wrapped 'round his shoes
He was covered with the evening news
Had a pair of old wool socks on his hands

The bank sign was flashing five below
It was freezing rain an' spittin' snow
He was curled up behind some garbage cans
I was afraid that he was dead
I gave him a gentle shake
When he opened up his eyes
I said, ""Old man are you ok?""

He said, ""I just climbed out of a cottonwood tree
I was runin' from some honey bees
Drip dryin' in the summer breeze
After jumpin' into Calico creek
I was walkin' down an old dirt road
Past a field of hay that had just been mowed
Man, I wish you'd just left me alone
'Cause I was almost home.""
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Who Let The Dogs Out,Baha Men,spotify:track:1H5tvpoApNDxvxDexoaAUo,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,198400,4,29.40143,10,1,"Who let the dogs out?
Who, who, who, who, who?
Who let the dogs out?
Who, who, who, who, who?
Who let the dogs out?
Who, who, who, who, who?
Who let the dogs out?

Well, the party was nice, the party was pumpin'
Heya, yippie yi yo
And everybody havin' a ball
Huh, huh, yippie yi yo

I tell the fellas start the name callin'
Yippie yi yo
And the girls respond to the call
I heard a woman shout out

Who let the dogs out?
Who, who, who, who, who?
Who let the dogs out?
Who, who, who, who, who?

Who let the dogs out?
Who, who, who, who, who?
Who let the dogs out?
Who, who, who, who, who?

I see de dance people had a ball
'Coz she really want to skip town
Get back, Gruffy, back, Scruffy
Get back you flea infested mongrel

Gonna tell myself, ""Hey, man, no get angry""
Heya, yippie yi yo
To any girls callin' them canine
Hey, yippie yi yo
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Living In Fast Forward,Kenny Chesney,spotify:track:0cE0J96KeivafL6goJwpmq,0.689,0.907,9,-5.587,1,0.037,0.0254,0.000732,0.138,0.912,116.968,211893,4,41.28787,10,1,"The body's a temple, that's what we're taught
I've treated this one like an old honky-tonk
Greasy cheeseburgers and cheap cigarettes
One day they'll get me if they ain't got me yet

'Cause I've been living, in fast-forward
Hill billy rock star out of control
I've been living, in fast-forward
Now I need to rewind real slow

My friends all grew up, they settled down
Built nice little houses on the outskirts of town
They work in their office, drive SUV's
They pray for their babies, and they worry 'bout me
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
How Far,Martina McBride,spotify:track:45wdPEiLuyv4oSwWQOX93R,0.473,0.59,6,-5.373,1,0.0298,0.359,0,0.101,0.334,140.191,235307,4,38.45284,10,1,"There's a boat, I could sail away
There's the sky, I could catch a plane
There's a train, there's the tracks
I could leave and I could choose to not come back
Oh, never come back

There you are, giving up the fight
Here I am begging you to try
Talk to me, let me in
But you just put your wall back up again
Oh, when's it gonna end

How far do I have to go to make you understand
I wanna make this work so much it hurts, but I just can't
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Luckiest Man,The Wood Brothers,spotify:track:26uHwSHlaK5mskSMhbRod3,0.571,0.281,5,-10.56,1,0.0475,0.74,0,0.163,0.294,142.263,233667,4,42.29581,9,0,"My whole Saturday and Sunday too
I was thinking about ways not to lose
I lay down my weapons is what I've done
Too late to hide, feet too soft to run
But people say I'm the luckiest man
Yeah, they say

Running is useless and fighting is foolish
You're not gonna win, but still you're the luckiest man you're up against
And too many horses, and mysterious forces
What you don't know is you are the luckiest man
You're the luckiest man

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Still Broken,Plan Three,spotify:track:2ajt6aQwvgu2eJbNIZhJFY,0.51,0.881,11,-4.384,0,0.0354,0.000591,1.46E-05,0.131,0.278,91.034,232093,4,31.97236,9,0,"Is this the final scene in our tragic play?
Only curtains remain to fall
There's no reason left to stay in this place
We move backwards against the wall

Conversation's over, communication's down
The monologue is taking over

I'm still broken
I took you in with arms wide open
My colour fades to gray
There's nothing left to say
Now it's all dead

Are these the final cries of our aching souls?
How come yours don't make a sound?
With broken wings we're falling faster as we go
But somehow we don't touch the ground
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Life Ain't Always Beautiful,Gary Allan,spotify:track:3unLUM6bJcy5beGawHpynM,0.481,0.508,2,-7.666,1,0.0248,0.216,0.000175,0.105,0.268,86.013,224613,4,71.34437,7,1,"Life ain't always beautiful
Sometimes it's just plain hard
Life can knock you down, it can break your heart

Life ain't always beautiful
You think you're on your way
And it's just a dead end road at the end of the day

But the struggles makes you stronger
And the changes make you wise
And happiness has its own way of takin' its sweet time
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Kiss A Girl,Keith Urban,spotify:track:4DyKZmONpoggnn3piyjad2,0.653,0.786,2,-5.418,1,0.0338,0.0103,2.19E-06,0.201,0.477,120.992,226733,4,33.55326,9,1,"To kiss and tell
It's just not my style
But the night is young
And it's been a while
And she broke my heart
Broke it right in two
And it's fixin' time
But I'm feelin' like I'm finally ready to
Find, find somebody new

I wanna kiss a girl
I wanna hold her tight
And maybe make a little magic in the moonlight
Don't wanna go too far
Just to take it slow
But I shouldn't be lonely in this big ol' world
I wanna kiss a girl

It's that moment when
You start closin' in
First you're holdin' back
Then surrenderin'
It can start a fire
Light up the sky
Such a simple thing
Do you wanna try?
Are you ready to
Say goodbye
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
As Good As I Once Was,Toby Keith,spotify:track:7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.646,119.075,227840,4,57.79785,10,1,"She said I seen you in here before
I said I been here a time or two
She said ""Hello my name is Bobby Jo,
Meet my twin sister Betty Lou
And we're both feelin' kinda wild tonight
You're the only cowboy in this place
And if you're up for a rodeo
I'll put a big Texas smile on your face""
I said ""Girls...""

I ain't as good as I once was
I got a few years on me now
But there was a time, back in my prime
When I could really lay it down
If you need some love tonight
Then I might have just enough
I ain't as good as I once was, but I'm as good once
As I ever was
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Headsprung,LL Cool J,spotify:track:1GIN41bLhiKeEPeC2vXH8i,0.718,0.786,0,-5.76,1,0.0284,0.0114,2.50E-05,0.0745,0.465,99.916,267320,4,40.33202,20,1,"They call me Big L'y
Big Silly, Big Money, Big Billy
When I'm slidin' in the Martin, ya hear me?
I be slicin' with these bars so you hear me

Lemme rip it up for cuz in the back
Lemme trip it get a buzz in your high
I'ma tell ya how to cause an attack
Timbaland, Ladies Love on the track

Lovely get the ice, pop champagne
Don't forget I used to ride on the train
When I bump it right, call my name
Go crazy in the mall with James

Dump that, not ill like me
Bring the women in to chill for free
Let me tell ya, girl, don't try me
You better have I.D. 'cause we be

Up in the club
We be posting the back
When we be in the club
Girls always come to the back

Everybody get our headsprung
Everybody get our headsprung
Everybody get our headsprung
Everybody get our headsprung

When we be up in the club
We be posting the back
When we be in the club
Girls always come to the back

Everybody get our headsprung
Everybody get our headsprung
Everybody get our headsprung
Everybody get our headsprung

Lord, have mercy, if the broad is thirsty
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Forever Heavy,Black Moth Super Rainbow,spotify:track:56e8Ac9LVRJf3SvVa9vVg0,0.384,0.735,5,-4.856,0,0.0383,0.703,0.921,0.232,0.276,133.906,256013,4,78.69983,10,0,"Am heavy,
Forever,
In the sun,
Forever,
Chewing gum,
Forever,
In a field,
La-da da duh-da

Chewing on bubble gum,
Laughing in a field,
Chewing on bubble gum,
Laughing in a field,
Chewing on bubble gum,
Laughing in a field,
Chewing on bubble gum,
Laughing in a field,

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Chicks Dig It,Chris Cagle,spotify:track:0nprj2O0teCglthuhzTG5o,0.596,0.921,7,-4.987,1,0.0504,0.0221,0,0.303,0.703,104.024,210560,4,29.07478,11,1,"Daddy's belt, momma's drapes
Standin' tall on the backyard shed
Lookin' cool in my Superman cape
I told the neighborhood girls
Said, Hey y'all watch this
My fate was a broken arm
My reward was one big kiss
When Daddy asked me why I did it
I made him laugh out loud when I told him
'Cause the chicks dig it

Scars heal, glory fades
And all we're left with are the memories made, oh yea
Pain hurts, but only for a minute
Yeah, life is short so go on and live it
'Cause the chicks dig it
Oh yeah
The chicks dig it

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
What's Left Of Me,Nick Lachey,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd,0.421,0.728,7,-5.644,1,0.035,0.136,0,0.136,0.311,150.12,244667,4,29.22179,11,1,"Watch my life pass me by in the rear-view mirror
Pictures frozen in time are becoming clearer
I don't want to waste another day
Stuck in the shadow of my mistakes, yeah

'Cause I want you and I feel you
Crawling underneath my skin
Like a hunger, like a burning
To find a place I've never been
Now I'm broken and I'm fading
I'm half the man I thought I would be
But you can have what's left of me

I've been dying inside little by little
Nowhere to go but going out of my mind
In endless circles, running from myself until
You gave me a reason for standing still

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
