Title,Artist,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time signature,Chorus Hit,Sections,Target,Lyrics
Pop Loser,Velocity Girl,spotify:track:1ffCS0pYwGoNArwqFS0iGp,0.588,0.835,9,-8.511,0,0.0301,0.0808,0.00752,0.13,0.978,127.494,144840,4,30.52254,8,0,"Last night i walked into your room by mistake
I wanted to kiss you but you moved away
Guess i've given in to my own sweet tooth
I'd like to spend the day on the roof

I wrote a song in my car last night
I almost finished but i saw the green light
I'll play my la la shit for you anytime
"
Metal Maniac Master Mind,U.D.O.,spotify:track:0m9WMc5fzuoiVcSgIzKV7b,0.43,0.922,0,-8.334,1,0.0507,0.0723,0.00241,0.21,0.14,97.727,341200,4,23.95149,12,0,"You sense his picture without a clue
You feel his presence- you think it's true
Somehow we know we have to pay
For all the things we didn't do or say

He is here- calling for you
Don't turn away- get down on your knees and pray
Seven days- seven secrets he had
We can't find out- and that's too bad

We always tried to believe in you
No sign or proof of the truth

We pray to you- metal maniac mastermind- looking for ya
No one like you- he's coming back for you
We pray to you- metal maniac mastermind- looking for ya
No one like you- metal maniac mastermind

We're burning out like a fireball
Leaving just a shell
"
A Promise I Make,Dakota Moon,spotify:track:6dWbvrb0xygIlstvZxDhDJ,0.711,0.481,0,-8.135,0,0.0242,0.273,0,0.0952,0.392,90.118,267280,4,30.26556,11,1,"Girl, you're every breath I take
Oh baby
Your love rules every move I make
Oh baby
And I know that you can't read my mind
And baby, maybe I

Don't say it as often as I should
But I really want it to be heard
When I say I love you, that's for good
You have my word
The day after day after all
I will always be true
That's a promise I make to you

You, you take this heart of mine
"
Powerful Thing,Trisha Yearwood,spotify:track:726S7vART4JYDbwIZwvHEm,0.614,0.868,2,-3.97,1,0.0459,0.413,0,0.0366,0.956,147.978,176920,4,37.24591,9,1,"Filistin, Filistin, Filistin, Filistin
Filistin, Filistin, Filistin"
Hell Bent for Leather,Judas Priest,spotify:track:3SfQsnBVAeOBC8JM8cr9VS,0.497,0.831,9,-7.412,1,0.124,0.00758,2.02E-05,0.11,0.287,96.404,160107,4,24.51239,12,0,"Seek him here, seek him on the highway
Never knowing when he'll appear
All await, engine is ticking over
Hear the roar as they sense the fear

Wheels! a glint of steel and a flash of light!
Screams! from a streak of fire as he strikes!

Hell bent, hell bent for leather
Hell bent, hell bent for leather
"
Alright - Demo,Osker,spotify:track:18t3mlQ0qPky2J1MEByC2i,0.319,0.967,3,-6.067,1,0.122,0.124,0,0.124,0.714,108.664,113827,4,82.77861,3,0,"I'm uncomfortable with myself
And your put-downs just do not help
The outcome is I feel like shit
Don't you know when to quit?

And I am not doing alright
And I am not doing alright

"
Punk Rock 101,Diesel Boy,spotify:track:4TM8FBojGAfApm4n109A72,0.327,0.906,1,-6.617,0,0.0719,3.28E-05,1.11E-05,0.0655,0.342,102.413,106333,3,20.69348,6,0,"I walk around with my hair all spiked
And I don't eat meat just beans and rice

Don't talk to me cause you don't understand
Can't you see how truly punk rock I am?

Hey can you spare some change now?
Cause I ain't go no home now
"
Say It,Voices Of Theory,spotify:track:5919i3Sp9U2IE5m7hhlgSw,0.381,0.415,0,-10.298,1,0.0691,0.675,0,0.0795,0.257,61.908,269467,3,26.47203,9,1,"Oh-ohoh-ohoh
Oh-ohoh-ohohoh
Oh-ohoh-ohoh
Am I givin enough is it all it sould be
When the water gets rough will you still swim with me
So afraid to come close I know that it may be too soon
It may be too much for you to consume
And I wanna know if I can live inside your world
And I wanna know if I can give it to you girl
You know that I wanna say it
You know that I need to say it
You know that I'd love to say it
My love just goes on and on and on

You know that I wanna say it
You know that I need to say it
You know that I'd love to say it
My love just goes on and on and on

I give you all that you need there's no better place you could be
And I know that in time you'll believe me
So please hold out your hand and let's exchange these golden bands
Cause I want you in my life I want you to be my wife
"
King Darius Suite,VeggieTales,spotify:track:0Qqschhs4Szs4SVSCuE5MM,0.64,0.361,3,-10.099,1,0.253,0.794,0,0.104,0.613,139.457,131227,4,56.23845,5,0,"I am King Darius,
I've had a dream,
And now I'm feeling rather frightened,
And I wish someone would tell me what it means

We are your wise men,
Yes that is true
And though we're using all our wisdom,
"
Georgia On My Mind,Michael Bolton,spotify:track:49kdc9KAqm4N28Y01g8SuS,0.321,0.435,11,-10.942,1,0.0341,0.256,1.06E-05,0.086,0.174,158.465,298133,3,45.70894,18,1,"Georgia, Georgia, whole day through
Just an old sweet song
Keeps Georgia on my mind

Talking 'bout Georgia
I'm in Georgia, song of you
Comes as sweet and clear as moonlight
Through the pines

Other arms they reach out to me
"
Thrash Under Pressure,Exodus,spotify:track:2vjQLtmUsAAgTl0nPceoV0,0.373,0.997,11,-5.442,0,0.213,0.000402,0.377,0.474,0.182,106.049,159707,4,18.80157,7,0,"Exodus - ""Thrash Under Pressure""

WE DO WHAT WE WANT 'CAUSE WE FUCKING WANT TO
NEVER GIVE A SHIT WHAT OTHERS SAY TO YOU
THEY TRY TO GIVE ADVICE JUST TO FIND WE'RE COLD AS ICEWORTHLESS
OPINIONS NEED NOT BE SPOKEN TWICE
WE'RE PROUD OF WHAT WE DO, CALL US THRASH WE WON'T ARGUE
WE'LL CONFIRM AND WE'RE FLATTERED BY THE TERM
THOSE EMBARRASSED BY IT NEVER SHOULD HAVE TRIED IT!

CHORUS

WITH MY HEAD HELD HIGH
STANDING DIGNIFIED
I HAVE MY INTEGRITY
NEVER GIVE AN INCH
AND I NEVER FLINCH
WHEN CAME TO MY LOALTY
100% ALL OUT NOTHING LESS
AGGRESSIVE, RELENTLESS AND MEAN
"
Foolish Heart,Sharon Bryant,spotify:track:7JR5s8DtDZxhVHAqawvo20,0.642,0.419,1,-12.609,1,0.0316,0.481,0,0.0523,0.755,95.6,279840,4,46.68056,10,1,"Ooh, ooh"
That's The Way Love Goes,Young M.C.,spotify:track:4bw5Pth0q5KcguwvAv0dVt,0.849,0.694,6,-14.43,0,0.0642,0.0232,0.00252,0.0524,0.932,118.309,229307,4,34.91088,9,1,"(Yuh huh)
(Hey hey)

Okay, this is what I say
About when I was a young man
Back in the day
I see a young lady
Thinking she was fine
Then I try to step to her
Just to make her mine
Bet, I proceed with a plan
Tellin' her how I could be her man

Lookin' in her eyes
While I tossed the bait
But she threw it right back in my face
Now I wanted this girl just to talk to me
But she wouldn't even take the time to walk to me
I got dissed
And that made me made
So I ran home just to tell my dad
I had a question, for my dear father
If girls treat you this bad, why bother?

He said you're learnin' somethin' everyone else knows
Just listen close son
'Cause that's the way love goes
(Ah hah, that's the way love goes)
That's the way love goes
(Oh yeah, that's the way love goes)
That's the way love goes
(Oh yeah yeah, that's the way love goes)
That's the way love goes
(Oh yeah yeah, that's the way love goes)

Now I remember
When I got older
The ladies got hotter
And my luck got colder
"
No Myth,Michael Penn,spotify:track:4SZozsPsG0vJ2Ti8BGxKsR,0.633,0.795,0,-7.617,1,0.0319,0.054,8.83E-05,0.34,0.833,103.504,250813,4,72.89685,10,1,"So
She says it's time she goes
But wanted to be sure I know
She hopes we can be friends

I think
Yeah, I guess we can, say I
But didn't think to ask her why
She blocked her eyes and drew the curtains
With knots I've got yet to untie

What if I were Romeo in black jeans
What if I was Heathcliff, it's no myth
Maybe she's just looking for
Someone to dance with

"
Hair Shoes (Demo),Pale Saints,spotify:track:5CjiJgkEWWji5aHCOCZP6j,0.12,0.368,4,-17.083,0,0.038,0.15,0.346,0.116,0.084,79.353,196227,5,28.59315,9,0,"How long can I contain
This wretched that no cure can tame
Feel it coursing through me still
Never knew that I could be so ill
"
Can't Let Go,Mariah Carey,spotify:track:0ikbcCJIJaY9sKEivAXJ4I,0.477,0.533,10,-11.049,1,0.0408,0.591,0.00685,0.139,0.18,162.368,266560,4,26.49111,12,1,"There you are
Holding her hand
I am lost
Dyin' to understand
Didn't I cherish you right
Don't you know
You were my life

Even though I try
I can't let go
Something in your eyes
Captured my soul
And every night
I see you in my dreams
You're all I know
I can't let go

Just cast aside
You don't even know I'm alive
You just walk on by
"
Church Of Your Heart,Roxette,spotify:track:6broBHB7ObAA2BhzLT2nlX,0.581,0.637,7,-6.039,1,0.0273,0.0146,1.15E-05,0.103,0.608,112.437,195987,4,34.71079,10,1,"Can't we leave the world outside
Just for a while, just for a while?
And spend some time, you and I
Under this bright glorious sky

It's been so long since I first saw you
But I still love that smile in your eyes

Yes it's true, right from the start
I believed in the church of your heart
Yes it's you that made me be part of
And believe in the church of your heart
"
Can't Stop This Thing We Started,Bryan Adams,spotify:track:753VOnELPOptUFMm7H10Vc,0.497,0.93,9,-3.902,1,0.0444,0.0112,0,0.354,0.47,113.086,195933,4,21.81515,10,1,"Yeah!
Baby!
I'm comin' to get ya

You might stop a hurricane
Might even stop the drivin' rain
You might have a dozen other guys
But if you wanna stop me baby don't even try

I'm goin' one way
Your way
It's such a strong way
Let's make it our way

Now baby
I can't stop this thing we started
You gotta know it's right
I can't stop this course we've plotted
Yeah!
This thing called love we got it
No place for the brokenhearted
Can't stop this thing we started, no way
I'm goin' your way!
Yeah
"
Peach,Beborn Beton,spotify:track:61u4h6IUG74LyvxzmvFToc,0.632,0.852,0,-8.265,1,0.037,0.0235,0.122,0.056,0.559,125.009,270187,4,39.4452,15,0,"I don't know what to feel but roses
I keep on holding breath until the
Night falls on my lonely bed
That was before the earth quaked

I haven't felt like this for ages
I cannot help but thinking of the
Endless times we spend in line
That was before the earth quaked

I could see the lines on your face
And your green eyes turn to grey
But I will never see a reason
I should ever go away
You could feel me drive into places
Still unknown until the day
I saw your innocence deceasing
Like a flower in the drain

Was it the scent, the smile on your face
Was it your silky skin, your fluffy hair
Around your neck that made me feel
"
One Of Us,Joan Osborne,spotify:track:1xNmF1Uep5OGutizZSbKvd,0.316,0.499,9,-7.899,1,0.0298,0.0108,1.81E-05,0.126,0.403,174.782,320467,4,38.6325,15,1,"So one of these nights and about twelve o'clock
This old world's going to reel and rock
Saints will tremble and cry for pair
For the lord's gonna come in his heavenly airplain

Yeah, yeah, yeah, yeah, yeah, yeah

If God had a name what would it be
And would you call it to His face
If you were faced with Him in all His glory
What would you ask if you had just one question?

And yeah, yeah God is great
Yeah, yeah God is good
Yeah, yeah, yeah, yeah, yeah

What if God was one of us
Just a slob like one of us
Just a stranger on the bus
"
Something Wild,Iggy Pop,spotify:track:18vGIMUWsWCFteG0ADixbS,0.595,0.772,7,-10.869,1,0.0263,0.0463,4.81E-05,0.196,0.679,129.044,241440,4,74.43606,10,0,"Sometimes I don't even move a muscle
Baby, while you lie awake all night
I think I've got nine lives in these corpuscles
Girl, you know sometimes I don't think right

I hear voices in the hall
I wake up and it's nothing at all
A hungry wolf-an angry child or

Something wild
Something wild
Something wild
Something wild

It's not as if we could think that things was one way
Or they would all just be that way right now
When I was a kid I thought that some day
I could tame this lion heart some way, somehow

Now I'm hungry for the love
"
Everybodies Girl,Dwarves,spotify:track:0luiEdjsPs2uXKEEXRmZlc,0.381,0.968,4,-5.287,1,0.0992,0.00532,0,0.607,0.433,143.099,162333,4,41.28468,9,0,"Kitty calls me on the phone,
To say she's all alone
And needs somebody's there.
Crystal sees into the future,
Tells me that she's an asshole;
Should have, but who really cares.

I sit here and wonder if we are sharing a different world,
And all these making emotions whirling around me swirl;
I'm in love with everybody's girl.

Look at Brenda there with Luke,
She's giving him the boot,
Ah, but Kelly's standing by.
"
Screaming for Vengeance,Judas Priest,spotify:track:1xrZtQGgKrnrbYFWJ1YLmJ,0.391,0.979,9,-5.537,1,0.0936,0.00922,3.43E-06,0.533,0.184,112.928,283907,4,24.75128,13,0,"Hey listen, don't you let them get your mind
Fill your brain with orders and that's not right
They're playing at a game that draws you closer
'Til you're living in a world that's ruled by fear

Always takin' baby out that's OK
What they're givin' maybe it's out of phase with me
Told you one you're never gonna win the race
Same old no tomorrow kicked in the face

We are screaming, screaming for vengeance
The world is a manacled place
Screaming, screaming for vengeance
The world is defiled in disgrace

Tie a blindfold all around your head
"
Who Is It,Michael Jackson,spotify:track:4HWcWgleTuUAWnVPNwW4CM,0.862,0.595,5,-4.655,1,0.121,0.0152,0.000343,0.104,0.502,103.168,393307,4,40.91468,13,1,"When you brought yourself to love someone
And when you bring yourself to not ice them
If a touch from you ever saves me
From the someone that means so much to me

Everyone around you falling to the floor
You got no choice
You know this getting real

They kept you
They want me to know
"
Bad Girl,Madonna,spotify:track:2tySjBBWqam7oaBUZ26oNL,0.645,0.484,11,-11.233,0,0.0396,0.0211,3.88E-06,0.0495,0.52,146.897,323333,4,44.29664,12,1,"Something's missing and I don't know why
I always feel the need to hide my feelings from you
Is it me or you that I'm afraid of
I tell myself, I'll show you what I'm made of
Can't bring myself to let you go

Don't want to 'cause you any pain
But I love you just the same
And you'll always be my baby
In my heart, I know we've come apart
And I don't know where to start
What can I do?
I don't wanna feel blue

Bad girl, drunk by six
Kissing someone else's lips
Smoked too many cigarettes today
I'm not happy when I act this way

Bad girl, drunk by six
Kissing some kind stranger's lips
Smoke too many cigarettes today
I'm not happy, I'm not happy

Something's happened and I can't go back
I fall apart every time you hand your heart out to me
What happens now, I know I don't deserve you
"
Destiny,Myron,spotify:track:20I5QpXHxNEUVS9owFhcXE,0.614,0.419,1,-10.433,1,0.308,0.0226,0,0.0835,0.523,116.056,216493,4,41.32123,9,1,"I've never been superstitious
(Superstitious)
Love don't always play fair
(Play fair)
Opportunity so delicious
Like none that I've known anywhere
(Anywhere)

So I take the chance to hold your hand
(Hold your hand)
And I hope that you would understand, yeah
(Understand)
But it all happened so suddenly
(So suddenly)
And now you are in love with me
(Love with me)

It's gotta be destiny, she's taken me
"
That's Not Her Style,Billy Joel,spotify:track:7EXagPENSPw79YAz500A6A,0.65,0.899,2,-4.694,1,0.0331,0.0412,0,0.263,0.814,118.245,308000,4,18.28167,16,1,"Some people think that she's one of those mink-coated ladies
They say she wakes up at one
And makes the paparazzi run till dawn
She wines and dines with argentines and kuwaitis
After she sips margaritas on the white house lawn

That's not her style I can tell you
That ain't my woman
It's just not her style I can tell you
Because I'm her man

The papers say she was seen in l.A with a stranger
She found a perfect body with a maserati right outside
And then she chartered a lear
When she heard her career was in danger
And gave the pilot somethin' extra for a perfect ride

"
December,Collective Soul,spotify:track:3yi27cGUFPTQUdWZV9nV67,0.684,0.645,0,-5.707,1,0.0272,0.589,0.00432,0.18,0.366,121.995,285000,4,47.447,12,1,"Why drink the water from my hand?
Contagious as you think I am
Just tilt my sun towards your domain
Your cup runneth over again

Don't scream about, don't think aloud
Turn your head now, baby, just spit me out
Don't worry about, don't speak of doubt
Turn your head now, baby, just spit me out

Why follow me to higher ground?
Lost as you swear I am
Don't throw away your basic needs
Ambiance and vanity

"
When You Don't See Me (Remastered),Sisters of Mercy,spotify:track:7nu1rAUwlMIeOlaPbrK9Du,0.666,0.803,9,-10.91,0,0.0299,0.00837,0.187,0.304,0.862,121.258,294320,4,49.7856,9,0,When you don't see me
"She Was Tall, She Was High",The Pretty Things,spotify:track:1ZBAsM0AIjBaCRwL1iOTIZ,0.444,0.479,7,-9.731,1,0.0341,0.0492,2.28E-05,0.236,0.303,140.192,95840,4,25.19804,7,0,"And as she weaves her way, through city streets,
The dawn arrives.
In concrete glades of metal grass,
Steel cords are woven tight.
But she is free, f "
Bad Reputation,Freedy Johnston,spotify:track:5aNAOwr2QoRbvyRG7ZVrhf,0.608,0.677,4,-9.951,0,0.0246,0.0058,0.000537,0.266,0.787,114.046,248560,4,42.90858,11,1,"I know I got a bad reputation
And it isn't just talk, talk, talk
If I could only give you everything
You know I haven't got

I couldn't have one conversation
If it wasn't for the lies, lies, lies
And still I want to tell you everything
'Til I close my eyes

Suddenly I'm on the street
Seven years disappear below my feet
Been breaking down
Do you want me now?
Do you want me now?

Suddenly I'm down in Herald Square
Looking in the crowd, your face is everywhere
Been turning 'round
Do you want me now?
Do you want me now?

"
Few And Far Between,"10,000 Maniacs",spotify:track:5KqINh56tApMe4LDMfLwOp,0.614,0.928,6,-6.827,1,0.032,0.0081,0.00051,0.025,0.878,133.629,194373,4,29.19663,8,1,"Times are far between, and few I bet, when we can look upon our lives without regret.
Of all the things I have done, you think I'm proud of everyone without exception?

'Till you make your peace with yesterday, you'll never build a future.
I swear by what I say.
Whatever penance you do, decide what it's worth to you and then respect it.
However long it will take to weather your mistakes, why not accept it?
"
Gettin' Jiggy Wit It,Will Smith,spotify:track:0weAUscowxeqDtpCgtbpgp,0.881,0.874,6,-4.505,1,0.139,0.0175,1.19E-06,0.154,0.858,107.891,227933,4,21.25823,10,1,"Bring It
Uh!
Ah, ah, ah, ah

Ha Haa, Ha Haa
What, what, what, what
Huuh

On your mark ready set let's go
Dance floor pro I know you know
I go psycho when my new joint hit
Just can't sit
Got to get jiggy wit it, thats it

Now honey honey come ride
DKNY all up in my eye
You gotta Prada bag with a lot a stuff in it
Give it to your friend let's spin
Everybody lookin' at me
Glancin' the kid

Wish you nig was dancin' the jig
Here with this handsome kid
Ciga-cigar right from Cuba-Cuba
I just bite it
It's for the look I don't light it
Illway the amay on the anceday orflay

Give it up jiggy make it feel like foreplay

Yo my cardio is infinite

Ha ha

Big willie style's all in it

Gettin jiggy wit it
Na na na na na na na nana
Na na na na nana
Gettin jiggy wit it

Na na na na na na na nana
Na na na na nana
Gettin jiggy wit it
Na na na na na na na nana

"
Like The Worms,Kickback,spotify:track:5ekymSTSfQtHOKicsJs4wu,0.446,0.896,2,-7.369,1,0.0572,2.46E-05,6.67E-06,0.224,0.263,88.403,236667,4,103.34354,7,0,"Lost all your hopes, lost all your
Dreams
In this shithole we call earth
Things are as sad as it seems
There's no love, no comfort inside
Here
No love, no comfort you're living in
Fear
"
